CaM,Myoc,Myom,SLH_jn,SLH_sl,SLL_jn,SLL_sl,SRB,TnCHc,TnCHm,TnCL,Ca_i,Ca_jn,Ca_sl,NaB_jn,NaB_sl,Na_jn,Na_sl,Ca_sr,Csqn,V,d,f,fCaB_jn,fCaB_sl,K_i,xr,xs,Na_i,ikur_r,s,h,j,m,hl,ml,x,y,i,o,ryr_r
0.0011522523365603292,0.007049914025986254,0.1324357873124369,0.12649862459575167,0.2499376328915011,0.021213381168949757,0.03578248419257345,0.006376395736537782,0.13303997586962252,0.0032683358487007102,0.026765221257156784,0.00035082238702983357,0.0005165171681544727,0.000393817817873337,3.9677195425206464,0.8656999686835496,11.036621770659437,11.036736532275565,0.5354891493307158,1.1744246878980356,-72.94626174359588,2.359530035927184e-05,0.9922490298802633,0.10017598061707633,0.07016720421753705,120.0,0.021386159765671032,0.007936440905787793,11.03693433710225,0.0004413944860910252,0.8966641925440675,0.2167739662005725,0.050713781042049655,0.020630369231229143,0.01161025452039783,0.011019435975093245,0.0014504619468257035,0.9251457337080171,2.878199992435931e-06,4.139502473106619e-06,0.5898615336760173
0.001150576010782224,0.007049160053332986,0.13243631472771009,0.12670426217202557,0.2497763231270023,0.022725286275271064,0.035859701321571354,0.006370074850910706,0.13303878646028056,0.003268528530035353,0.026736725570663228,0.0003504191352286165,0.0007012930147726043,0.0003982803186889061,3.9677197806970836,0.8656999675215177,11.061763718192514,11.040855148873128,0.5358263792147817,1.1748301148700426,-5.942003777475929,0.03669804542552103,0.9801600900365308,0.09983109511026224,0.06995800807975694,120.0,0.021396718106973567,0.00878760236039335,11.037003939899062,0.01287294134498117,0.896661477096836,0.09592770859012203,0.047252658247237844,0.9861406004629741,0.01159912735708063,0.9663021215880654,0.020525428835317147,0.910502645913011,2.8922017853882202e-06,4.176679673926216e-06,0.5908501267426423
0.001149232748837151,0.007048407012827137,0.13243684564193206,0.1319302027799696,0.2498655563458695,0.04758919663644297,0.03687081512441448,0.006364260971121806,0.13303759729752707,0.0032687235537695314,0.026709005713161798,0.000350759259679375,0.0019198587642098564,0.0004203749498830372,3.967725347063718,0.8657000541331289,11.049497754356516,11.037260905709054,0.5361471651827251,1.1752446635005813,-3.463973156354201,0.2703466311285678,0.9503901924834032,0.10062883685818652,0.06977228576287887,120.0,0.022164729626905706,0.009829699933208527,11.03714688163596,0.11321100063842446,0.8965051368963761,0.002159614882616641,0.030321669169084294,0.9945622567244154,0.01157981269278457,0.9922305693413541,0.09524616234209793,0.8752234819670867,3.848544111493576e-06,5.547471301093973e-06,0.5904011797081405
0.0011486604250629349,0.007047660178424604,0.1324373799432745,0.1432453496102851,0.25043567892657853,0.08444224866334935,0.038959702290788316,0.006359672400572091,0.13303641491986873,0.003268920894293985,0.026683079394337842,0.0003517162696173515,0.0030913066810098117,0.0004516908030542106,3.9677262509008187,0.8656999625343736,11.041512912316014,11.036400948325324,0.5365694677559826,1.1755186034762097,-1.662535022383301,0.4452898557330124,0.9222550639955853,0.1032621214498339,0.06963159230835374,120.0,0.023079307380366714,0.01086735165239604,11.037113689543865,0.2088662798142169,0.8963360392509105,4.098049538638572e-05,0.01855522240088614,0.995521249909745,0.011560529931247378,0.9936142565404174,0.16242767322955562,0.8411619991815698,7.649261180027793e-06,1.0901052591979443e-05,0.5876369627300406
0.001149021996178297,0.007046922974969925,0.1324379174533365,0.15636516864319344,0.2515717897823033,0.11638320034677574,0.04173995006692282,0.0063566983926488,0.1330352436079258,0.003269120509815488,0.026659574994928693,0.00035306564054754427,0.004090052900043636,0.0004879604399396057,3.967725698118361,0.8656998398546415,11.040130356413199,11.03623227612556,0.5367478731701425,1.1759362777339377,0.3852554224554574,0.5832105091185513,0.8958423624082958,0.10749348455093649,0.06954621705382161,120.0,0.024200981329396163,0.011900274767714046,11.037053878462144,0.3031292472513428,0.8961520564686929,6.197933713271923e-07,0.01065086928493264,0.996428851621561,0.0115412790446192,0.9949168376637368,0.22531839784947552,0.8082584237071362,1.547829400074279e-05,2.1629037811639246e-05,0.5828565390288976
0.0011503322209599225,0.007046197644112696,0.13243845795326725,0.16795752872645806,0.25328705681061153,0.1406959714186285,0.044901556129493085,0.00635552455137472,0.13303408619758414,0.0032693223483694508,0.02663887263964572,0.00035468200540938994,0.0049248151794704246,0.0005266568577156486,3.9677250330066878,0.8656997085706422,11.040445834372955,11.036148943846921,0.5369397804329751,1.1761689259099157,2.0908378496811784,0.6906122249533418,0.8710276776031337,0.11301840406500124,0.06952107676577571,120.0,0.025555877349792117,0.012928785041461263,11.036990184322029,0.3941857263619441,0.8959546338894688,2.6464538020465028e-08,0.0057102619778470675,0.9970526123345207,0.011522060049789375,0.995805422235894,0.2846679253985132,0.7765059954900285,2.7815303369843173e-05,3.78627491102681e-05,0.5764524010913803
0.001152536921951353,0.007045485733992702,0.1324390011986304,0.17670297856067355,0.2555541323564706,0.1591968126835539,0.04825171212706239,0.0063562205918341235,0.13303294467924862,0.003269526351219406,0.02662120653843989,0.00035649621001889625,0.005646936978243976,0.0005665866142711477,3.967724546401458,0.8656995718229094,11.041018806973184,11.036082663598071,0.5370231402645362,1.1762701709434924,3.203277716520993,0.76868169484973,0.8475086171027215,0.11958678129619534,0.06955812910929923,120.0,0.02710987261844427,0.013953702960065267,11.036925794235113,0.476532117266745,0.8957478976220142,4.065804849031986e-09,0.0028964608102755455,0.9974053382536271,0.01150287296597004,0.996304843239309,0.33915640439949457,0.7459230481224536,4.4819346595392136e-05,5.912361707795963e-05,0.5687496113349925
0.0011555631734452435,0.00704478846496076,0.13243954692774543,0.18268666622529658,0.25832924747920566,0.1741814870363073,0.05170194405344088,0.006358802949383498,0.13303182064614502,0.0032697324547610518,0.02660674054151648,0.0003584843698168861,0.006314214874459858,0.0006075261314995758,3.9677242652895908,0.865699430529133,11.041575828448845,11.036025256418874,0.5369693647266071,1.1762071923508857,3.710393277504825,0.8207132453814946,0.8249639604595322,0.12703701254573083,0.06965824029404007,120.0,0.0287873465632728,0.014975911528745804,11.036861606660688,0.5453894012170435,0.8955361789443314,1.1531850477484554e-09,0.001420948339954429,0.9975567354671993,0.011483717789800653,0.9965181469209823,0.38705558447921584,0.7165197801186465,6.671044490332847e-05,8.492065838601356e-05,0.5599632796231703
0.001159349528509249,0.007044107000244541,0.13244009486466435,0.18656153788948024,0.2615671921054363,0.1873387837989894,0.05523836455083865,0.006363278209858801,0.13303071562713226,0.003269940591167118,0.02659562303445777,0.00036065359467521077,0.006972574055853551,0.0006498240882062937,3.967724181730996,0.8656992853625003,11.04212154779824,11.035976227124781,0.5367530774491287,1.175949478535273,3.7275021376112156,0.8521732741199762,0.8031339021683804,0.13528825690912794,0.06982239724547419,120.0,0.03050285435273119,0.015996125015092993,11.03679822928227,0.5988330122488418,0.8953230000231542,1.6837799855606256e-09,0.0006896184200328741,0.9975687883669722,0.011464594499741167,0.9965345119947621,0.42720831226028166,0.6882914833589984,9.398188234524943e-05,0.00011501655177117841,0.5502080051519594
0.0011638596729110536,0.0070434426168085726,0.13244064471894273,0.18902200006367081,0.2652284076007982,0.19967468561932686,0.058889279733109916,0.006369668362986846,0.13302963129759676,0.0032701506882958156,0.026588020881766077,0.0003630283667723227,0.007652470603865323,0.000694091578435393,3.9677242958741483,0.8656991369848583,11.04267819794836,11.035935437153045,0.5363499517289362,1.1754676004911428,3.405558770178972,0.8686793052170678,0.781838915810928,0.14431474172355158,0.07005234503573377,120.0,0.032187844457131375,0.01701482325212656,11.036736216020063,0.6375496620495402,0.8951108971569933,-1.1501619490089172e-09,0.00033706690472770976,0.9974856504510957,0.011445503063503944,0.9964166211664086,0.4593045777477288,0.6612207385493684,0.00012746850843917918,0.0001494443131083531,0.5395309464522422
