,999
v,-87.92865313373927
CaMKt,0.0145122482727604
cass,8.126170287271246e-05
nai,7.581295646004201
nass,7.581380841826571
ki,144.34208581844536
kss,144.34205393540097
cansr,1.5387249724187786
cajsr,1.4645211128880644
cai,8.197996485523815e-05
m,0.0073984187283887
hf,0.6955645896131489
hs,0.6955530593150266
j,0.6954879626689486
hsp,0.4519884403510176
jp,0.6954430362358794
mL,0.0001908993042878
hL,0.4993667772453953
hLp,0.2695143489957011
a,0.0010060513859323
iF,0.9995484427670548
iS,0.5871275570092738
ap,0.0005126115833629
iFp,0.9995484478606976
iSp,0.6403364931497121
d,2.381670003732849e-09
ff,0.9999999906927204
fs,0.9095214202067864
fcaf,0.9999999906927646
fcas,0.9997513057370674
jca,0.9999443134055376
ffp,0.9999999908056064
fcafp,0.9999999907015652
nca,0.0023243285870916
IC1,0.9996307221519348
IC2,6.931730797869553e-05
C1,1.8269621566667522e-08
C2,8.386489426179018e-05
O,0.0001583976109507
IO,5.795080021337499e-05
IObound,1e-09
Obound,1e-09
Cbound,1e-09
D,0.0
xs1,0.2728442522832923
xs2,0.0001944173870057
xk1,0.9967788247515442
Jrelnp,1.9504854540319322e-07
Jrelp,2.4354666501848777e-07
