CaM,Myoc,Myom,SLH_jn,SLH_sl,SLL_jn,SLL_sl,SRB,TnCHc,TnCHm,TnCL,Ca_i,Ca_jn,Ca_sl,NaB_jn,NaB_sl,Na_jn,Na_sl,Ca_sr,Csqn,V,d,f,fCaB_jn,fCaB_sl,K_i,xr,xs,Na_i,ikur_r,s,h,j,m,hl,ml,x,y,i,o,ryr_r,fluo_i,fluo_jn,fluo_sl,Cai_mean,fluo_mean
0.0015453398372294543,0.008951486058911402,0.1305482301835366,0.14217489421361373,0.28583777481251416,0.029508190408247623,0.049551298021833334,0.007672513671340638,0.13452956345576517,0.002578268836775089,0.03231765443468262,0.0004770572749112192,0.0007289407783348818,0.0005512157213917563,4.075128565900012,0.8890626669467162,11.684565264834086,11.683845009955979,0.5518205911505503,1.193794045110051,-65.86355989385486,7.753530653160126e-05,0.965898549364593,0.17659125429693834,0.10878621778842992,120.0,0.04397264830704136,0.015326863870970892,11.684007449822564,0.0011588320414021717,0.8635431100787349,0.04107508093750018,0.007893324725522522,0.07269950481260062,0.0024575839953955084,0.033016153969817406,0.0027995087863831015,0.7931846255310485,8.56218614149845e-06,7.368630826483821e-06,0.4624931844314169,0.003935284960559077,0.004977189800074921,0.004289296897596441,0.00047947165220762713,0.003946681501922437
0.0015418124850534662,0.008950659849482514,0.13054864659800935,0.1423149418346594,0.28554872080832655,0.03136510042059697,0.04960597638002086,0.0076619812224124305,0.13452852541779625,0.0025783609700814857,0.032272217306572155,0.00047607138261220494,0.000933556436419027,0.0005565371789674951,4.075126118144695,0.8890626592965559,11.681521299682196,11.683446893085671,0.5524407565843001,1.1945193358870263,-6.1749624766117535,0.04278267782975876,0.9523284747855038,0.17558218506578652,0.10833209101878179,120.0,0.04395274377455825,0.01610652083575403,11.68398336561995,0.015613733624168366,0.8635449887410586,0.015681674940053826,0.007274470350941217,0.9878968582119284,0.002456226133009141,0.9741447615028064,0.024556933877501488,0.7799442584912477,8.54426700202201e-06,7.399443955901348e-06,0.4640542712310641,0.003929495047701069,0.005022554805042645,0.004284590709355776,0.00047883915655392597,0.003940965032955172
0.0015386081233205425,0.00894983181001777,0.13054906939177946,0.14603527633150332,0.2854736486003474,0.05346016668085293,0.050567166429331366,0.0076518948299207894,0.13452748362818534,0.002578455632894006,0.032227494528790215,0.0004756685759854294,0.0019902361918961,0.000576966867959619,4.075122430659253,0.8890626130518262,11.679179019119356,11.68300787178759,0.5530562655552786,1.1952384990314509,-5.784578443364251,0.24331510589087132,0.9226996165546092,0.17554134482789416,0.10790355828642863,120.0,0.04455110818068518,0.01713421882718409,11.683923683873632,0.0996979779188601,0.8634145750393136,0.0004461089508875438,0.004906017006055413,0.9929946017956256,0.002452137338730992,0.9899473401727168,0.09180616409087412,0.7502437029603851,9.905767364771182e-06,8.59767595146905e-06,0.464614982006395,0.003924287745231197,0.005702869587084633,0.004296826517132844,0.00047990743127119146,0.003936829045663822
0.0015360198028639704,0.008949005663291527,0.1305494984632991,0.15377934517823993,0.28576121385460895,0.08458835037035009,0.052447020125594206,0.007642695265028104,0.13452644182454576,0.0025785528146660503,0.03218412122372513,0.00047571878562063563,0.0029788442193604504,0.0006054075568381336,4.07511876610452,0.8890625493821804,11.680799321576073,11.68289723251282,0.5536551588211365,1.195937709764787,-4.235048712934539,0.39039847357490554,0.8944216346394739,0.17693947339357124,0.10751784311096148,120.0,0.04522802632457823,0.018158893114753886,11.683851581847522,0.17717161039315377,0.8632757391232057,1.1744190776010056e-05,0.0032199781250684947,0.9940620981786373,0.0024480551197995767,0.9914996284534592,0.15038038999667097,0.721585726509999,1.4634721195944736e-05,1.2654243790738203e-05,0.4636817945295769,0.00392019159093756,0.006797492006124571,0.0043346260366688575,0.00048159907003829914,0.003934865687206996
0.0015341711855842088,0.008948184048243584,0.13054993366336512,0.16285704810084178,0.28646832290684937,0.11183929061933869,0.05493318600052046,0.007634641358610346,0.13452540268236468,0.002578652495359044,0.032142524860350026,0.00047611084652081966,0.0038286333263096205,0.0006385908967713631,4.075115811963193,0.8890624797149698,11.682883073275365,11.6828302193901,0.5542173397072654,1.1965936549235139,-2.3097327971319834,0.5116670582544744,0.8677358923524964,0.17959131843152581,0.10718387639845244,120.0,0.04605494171879369,0.019180117657385667,11.683778864603582,0.2546743423173774,0.8631226916900931,3.31372603971037e-07,0.0020098764133920227,0.9951922921940264,0.0024439793765712635,0.9931410932544787,0.20495305098321098,0.6938418226538976,2.3718103697264197e-05,2.0324682105620265e-05,0.4614449351289817,0.003917413011164179,0.007702576388961369,0.004397754035165275,0.0004836519598962043,0.003934782654899524
0.0015330997291404123,0.008947368989054424,0.13055037480909779,0.17115528086187667,0.2876041047846202,0.1330566653240814,0.057776400124636175,0.0076278881861169745,0.13452436827678746,0.0025787546480134163,0.03210301339326739,0.00047677112220123505,0.004540249810471508,0.0006743190564006665,4.075113501149738,0.8890624051797152,11.684408215457557,11.682763415836634,0.5547201145281448,1.197180033944764,-0.4979728084730054,0.6141569680042194,0.8426298959841294,0.18327109002739486,0.10690639900483753,120.0,0.0470647566312854,0.02019786347535447,11.683706639061722,0.3326320838929336,0.862955134285368,3.345874118682739e-07,0.0011829754447049922,0.9960693631282671,0.0024399101660455905,0.9944057518697995,0.2570711566154092,0.6669964377322142,3.7429425600107643e-05,3.165129114860917e-05,0.45814086373404295,0.003915999376868009,0.00826375113867141,0.0044823790115279295,0.0004859296852333126,0.003936387498800977
0.0015327925331869862,0.008946562068639993,0.1305508216925912,0.17770944084697082,0.2891473939287819,0.1493194071288415,0.06080582323049451,0.007622519330552613,0.13452334025257076,0.002578859240315704,0.0320658089523741,0.00047764790031784967,0.005141325972872857,0.0007112933804416413,4.075111622095963,0.8890623256273034,11.685364825707724,11.682694403851666,0.555141853916168,1.1976718310814563,0.9379251374059386,0.69725330041717,0.8189260473043006,0.1877774815707979,0.10668746030635427,120.0,0.04825590337017458,0.02121239678919148,11.683634713708539,0.40792211610003215,0.8627756894584518,2.845293580721003e-08,0.0006585349715685958,0.9966572734497247,0.002435847567270056,0.9952392699719498,0.3063867829967915,0.6410707666053788,5.5639099612618386e-05,4.6270025360627615e-05,0.45398235797971415,0.0039159086259549225,0.00857501434094044,0.004583249744694155,0.0004883655947153164,0.003939558376909247
0.0015332123721612065,0.008945764581723735,0.13055127408697956,0.1824337588478678,0.29106127770530027,0.16219587751975342,0.06392262265386998,0.007618573498018888,0.1345223199743515,0.002578966235694042,0.032031077079976926,0.0004787111486597578,0.0056685007625518246,0.0007489053968281116,4.07511001249463,0.8890622410301253,11.68597039586588,11.682626790414293,0.5554636323323837,1.198047206168949,1.8983659439989502,0.7600908447965928,0.7963780029536951,0.192958349279325,0.10652767185395397,120.0,0.049596163196589264,0.02222414557078095,11.683563030925088,0.47632870927879106,0.8625879817810037,-1.890591146469629e-08,0.00035076358957113977,0.9970045250810738,0.0024317916383493564,0.9957370723352538,0.3517037363406857,0.6160865837128884,7.813259358148944e-05,6.371967349827221e-05,0.44913152854797095,0.0039170584815513415,0.008752235864180544,0.0046951761879751005,0.0004909418788115534,0.003944153870093562
0.0015343166737023038,0.008944977675291526,0.13055173175009407,0.18566376494252504,0.2933038747035381,0.17299871433317748,0.06708496853118974,0.007616066934226517,0.13452130866496798,0.0025790755939697012,0.031998952966997764,0.000479948932901843,0.0061562370921478685,0.0007871081266580169,4.075108585498328,0.8890621516383357,11.686419604056562,11.682563847124438,0.5556692690291964,1.1982875111770788,2.397244030462558,0.8040492386808524,0.7747446660090225,0.19871393539520504,0.10642716189712366,120.0,0.05103334737722571,0.023233556730985004,11.68349180580163,0.5345524257407246,0.8623955065798787,-4.602357237404589e-08,0.00018165209059809646,0.9971746062902157,0.0024277424145480292,0.995981496330543,0.3917777798107139,0.5920546881808946,0.00010481526172973389,8.362726796492186e-05,0.4436961198942628,0.00391936127342114,0.008866180013561554,0.004813863878724191,0.0004936732698799413,0.003950017786177291
0.001536069257162958,0.008944202458123812,0.13055219442610097,0.1878272128678404,0.29583494477749306,0.1826475000848918,0.07028996312575832,0.007615009662487466,0.13452030751365066,0.0025791872716331866,0.03196956153445888,0.0004813625688171349,0.006630968910916971,0.0008261235463405082,4.0751073090296135,0.889062057892975,11.6868308383155,11.68250730419231,0.5557445884605404,1.1983763916967511,2.5125935869591762,0.8322484482498265,0.7538282109976416,0.20498791676470884,0.1063861972193004,120.0,0.05251089592606231,0.02424100041971951,11.68342142210046,0.5811159872996655,0.8622011475381027,6.721594971781371e-09,9.294613164099822e-05,0.9972167545920234,0.002423699915229004,0.9960360204165247,0.42577849572232174,0.5689737125565417,0.0001358041229651898,0.00010577396909813389,0.43773898288934004,0.003922744606034293,0.008950713410064422,0.004936206634677425,0.0004965889126522573,0.003957014522859763
