V,Na_c,Na_i,m,h1,h2,Ca_d,d_L,f_L1,f_L2,K_c,K_i,r,s,a_ur,i_ur,n,pa,Ca_c,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,O,Ca_rel,Ca_up,O_Calse,F1,F2,fluo_d,fluo_i,Cai_mean,fluo_mean
-71.90093881123795,129.9812563292314,9.435335223101792,0.004259082294728371,0.8251890183034756,0.7606303993240977,0.00012520428284332628,1.9515168922374724e-05,0.9981016927339954,0.9943765224735845,6.144557516610169,128.48957273306075,0.0013221797824881554,0.938595540698405,0.00047062680698847087,0.9467586938066358,0.010218488409751836,7.911689782451922e-05,1.8166927969552185,9.648158527459506e-05,0.038962208515750864,0.01893298297928875,0.27027340596607724,0.6439321555993927,1.3960344130011715,0.7619062385339315,0.8319458308329946,0.47757579364526354,0.24089466402664697,0.004682296418052631,0.0014522612923757322,0.0011515843301623987,9.704477542300157e-05,0.0011574799568724642
18.60878705232663,129.96208060256458,9.437943321895075,0.9850932919834969,0.3879642674572319,0.6975144600751247,0.00025262156296270116,0.055504281546746644,0.979772953498604,0.9915317168827107,6.144317626245531,128.4948794400862,0.02817290708502564,0.9143799924033632,0.04354223178280747,0.9467232450861934,0.010257337264463175,0.002053362761173361,1.8164847859936615,0.00010067888276726868,0.03919884866447604,0.01903002262479099,0.2701699805913993,0.6440309335662175,1.3960362769195558,0.7619871272373929,0.832086012773147,0.477603451919846,0.24132897431807476,0.004697603780152461,0.0014693588888886862,0.0011543423677028836,0.00010365815100639481,0.0011605191622359385
40.75345103626541,129.9478499093867,9.439879161275911,0.9999729947484566,0.013840107918097453,0.49979096824603864,0.0023882303833120478,0.42480791447724886,0.8865532654801693,0.9758214601984222,6.147239816782927,128.49448008014647,0.3577385528132244,0.8520457757962933,0.7285881217548198,0.9464177940272864,0.011118174475177519,0.03279136137713644,1.8149628101233402,0.00010531534388766118,0.04019076781975216,0.019449694086625533,0.27016248158340816,0.6440521502886476,1.3961132871572122,0.7619121655359801,0.8324970675033173,0.47762302593716494,0.24115067695473752,0.005318313479804281,0.0033691424053573274,0.0011671762270380503,0.0001500783838763746,0.0012103520344560754
36.148266488169654,129.94735285819394,9.43994725942871,0.9995527095771657,0.0004940371410467533,0.3581159505586103,0.005341236620677753,0.6504570742902904,0.8021952197683823,0.9603585374724065,6.154482503025719,128.49348486574306,0.5844627119348641,0.7939387673031398,0.9270084708183075,0.946110728402588,0.012048818572156101,0.06312736525959671,1.8130448266807646,0.00011298141063143926,0.041531002100361335,0.020037867722132674,0.2702357107740047,0.6440039235516087,1.3962323682611757,0.7596990923200739,0.8331206580278103,0.47746703767294135,0.23685260160559451,0.009975878056067217,0.006677788739001839,0.0011867302127736758,0.00021549621867156303,0.0012943980270134436
29.434124727123663,129.94717666689925,9.439971722951817,0.9989896417396996,1.7346052913164833e-05,0.2566013846559537,0.010175371943932449,0.7867821242455685,0.7258768643386987,0.945142640316544,6.162880436932546,128.49233242894886,0.701684428987057,0.7398478549188751,0.9688632042063319,0.9458063984285494,0.012798173180874915,0.09196841812226281,1.8110713309806348,0.00014666602230203966,0.045217836397028185,0.021624260054727253,0.2706147043549799,0.6437413649157254,1.3965858261640893,0.7468075903502892,0.8344996547536782,0.47615152792527893,0.22482368926157392,0.02205495766150556,0.008835322988290456,0.001237332970096814,0.000343307314883028,0.0013863131665319834
22.857838061539415,129.94693335215788,9.440005317226483,0.9977733004575322,5.950049089491132e-07,0.18386285105496408,0.016392739403185357,0.8682841143763634,0.6568535569079255,0.9301732393644571,6.171103822607562,128.49120361684024,0.7574475170662996,0.6895435202380289,0.9726112763170409,0.9455075422359407,0.013369758089678734,0.11814469563179653,1.8091737026270442,0.00023730906048054077,0.05681318386951352,0.02660962398794071,0.272014279183616,0.6427152518446366,1.3977303778875896,0.70829418089581,0.8381040180890169,0.47088314751944377,0.2052668242942062,0.040922529415803335,0.009496145814656284,0.0013921869988515626,0.000554082204455145,0.0015510881521026358
16.971268714436242,129.94661052996824,9.440049727207715,0.9954560462919664,1.8691156962589104e-07,0.13174325779137466,0.022694966889840632,0.9154280137105258,0.5944724952467256,0.9154532964492107,6.17868981125192,128.49016138294846,0.7780785338100389,0.6428246610960544,0.962160835858166,0.9452178272027658,0.013812170810950814,0.13996010841025774,1.807410892775815,0.00038328393405600035,0.08157233822240591,0.03754112865374975,0.2754193970841595,0.6400658463830392,1.4002638790708202,0.6420839006797999,0.845121156264507,0.4584566601069881,0.1811308946247364,0.06271950151552146,0.00966557782821818,0.0017330732425019611,0.000820767913581189,0.0018886125481042395
11.88578909223956,129.94621973244034,9.44010338524562,0.9915833265075754,5.316394377954174e-07,0.09439866596423062,0.02857357525930598,0.9397011150406718,0.5381735742142717,0.9009908566623309,6.185503675963529,128.4892240599368,0.7762712780744502,0.5995133716738944,0.9425291072541974,0.9449413648122925,0.014166855236263336,0.15664295896183053,1.8058084704965258,0.000549992794961557,0.11831548119362129,0.05455196388679556,0.2814166957606274,0.6351864776112531,1.4042377551114027,0.5640055815360845,0.8552374444158679,0.4383482043933883,0.1551081900484078,0.08341008178683013,0.00973877070539411,0.0022661871885957456,0.0010994748040663496,0.002412708434023164
7.554538573554916,129.94578818333434,9.440162589431964,0.9858032196679699,1.1969916037302121e-06,0.06764076581932207,0.03385939909697439,0.9468014177726443,0.48748812947457903,0.886800733245749,6.19153520494257,128.4883930472614,0.7587376839661066,0.5594462117577402,0.9153467043382152,0.9446818274518811,0.014459675025796297,0.1689193650044901,1.8043731370804852,0.0007041716166131752,0.16025557597161533,0.07527868530880395,0.28993659098374286,0.628042243528668,1.4091463803258715,0.49091697916812277,0.8673997116484757,0.41298296894550207,0.12961480608072493,0.09980746394699226,0.009780891242462321,0.002912806699828827,0.0013542741162281006,0.0030474750241941896
3.887272625174286,129.94534062275125,9.440223975374458,0.9779598519240489,2.460478696854944e-06,0.048469400397060734,0.03844580483647294,0.9390843604872616,0.4420383120125502,0.8729082874933309,6.196824639509547,128.48766288250462,0.7298768564559777,0.5224656680719959,0.8819606349951729,0.9444416648428938,0.014706049016447974,0.17804492655550802,1.8031016543252516,0.0008302178995968104,0.2003148195180355,0.09669183693345353,0.3004974718173775,0.6190108848104532,1.4143518393488153,0.4302647134723796,0.8806977232527805,0.38564732933809914,0.10639674322514299,0.11044712551715795,0.009812398702869547,0.0035706371112132875,0.001567778427770852,0.0036930245934026257
