,999
CaM,0.0006918524831071
Myoc,0.0039252150849849
Myom,0.1355616031874724
SLH_jn,0.1031483778324394
SLH_sl,0.188936536565334
SLL_jn,0.0134300630294227
SLL_sl,0.0210698662285945
SRB,0.0044020972321591
TnCHc,0.1277962754550994
TnCHm,0.0057228248279359
TnCL,0.0180849026581403
Ca_i,0.0002076728501879
Ca_jn,0.0003225222013285
Ca_sl,0.0002292992462768
NaB_jn,3.593049906288301
NaB_sl,0.7840517594593684
Na_jn,9.050454912143362
Na_sl,9.050669394797383
Ca_sr,0.5046286000895491
Csqn,1.1363257177885508
V,-73.24806213620307
d,2.236574023779862e-05
f,0.998339186252177
fCaB_jn,0.0443816428827921
fCaB_sl,0.0321647279461279
K_i,120.0
xr,0.0010315142181526
xs,0.0075907707003096
Na_i,9.050830931590868
ikur_r,0.0004019809086356
s,0.9583144336827404
h,0.3090589822806431
j,0.2569607416939111
m,0.0195710019514986
hl,0.0384430633366547
ml,0.0105020270218584
x,0.0014027674386137
y,0.9450903611259184
i,4.77887597198209e-07
o,2.001096547895856e-06
ryr_r,0.8072221365493114
fluo_i,-6.372349254134863e-22
fluo_jn,0.0
fluo_sl,-1.3103155131759478e-20
Cai_mean,0.0002084102147887
fluo_mean,-1.0085405981664825e-21
