,999
CaM,0.0006722456628719
Myoc,0.0034105464474587
Myom,0.1360853354694317
SLH_jn,0.1009941562928354
SLH_sl,0.1853083212642321
SLL_jn,0.0128723088234344
SLL_sl,0.0203749888232166
SRB,0.0043062271118491
TnCHc,0.126009760969438
TnCHm,0.0066018502343047
TnCL,0.0176934447900386
Ca_i,0.0002016142305436
Ca_jn,0.0003088084020319
Ca_sl,0.0002216074483632
NaB_jn,3.4093267984758606
NaB_sl,0.7439174229196198
Na_jn,8.210260421256208
Na_sl,8.209653846085798
Ca_sr,0.4915608916162075
Csqn,1.1195706209968546
V,-70.87350133844537
d,3.322491272924615e-05
f,0.9975495698216128
fCaB_jn,0.0425981191084873
fCaB_sl,0.0311319334251023
K_i,120.0
xr,0.0012265710133923
xs,0.008956364924062
Na_i,8.20973128936369
ikur_r,0.0005298590354672
s,0.9713400490518976
h,0.2263429314485425
j,0.1675547789059228
m,0.0305602454096316
hl,0.0265981491936729
ml,0.0152757831660063
x,0.0017402099189985
y,0.9332879555080272
i,4.2109572768869765e-07
o,1.7810929109535654e-06
ryr_r,0.8087819608787575
fluo_i,-2.377597164320828e-23
fluo_jn,0.0
fluo_sl,-1.782872352946153e-21
Cai_mean,0.0002022967292719
fluo_mean,-7.622499008560031e-23
