,333
V,-68.63508888354322
Na_c,129.83210913336956
Na_i,10.14673274411102
m,0.0063264718888596
h1,0.7229851063516202
h2,0.5696524965583698
Ca_d,0.0002118364220947
d_L,3.4100615067773604e-05
f_L1,0.9970399910392572
f_L2,0.9626456393741836
K_c,6.648886397330976
K_i,127.69701531426664
r,0.001775779908382
s,0.920836123129084
a_ur,0.0006810550219486
i_ur,0.9303446906426792
n,0.0147886029755931
pa,0.0003357899049621
Ca_c,1.8151922007806995
Ca_i,0.0001527821730027
O_C,0.0601635615821059
O_TC,0.0295507471587679
O_TMgC,0.3647323740116066
O_TMgMg,0.5605766246287714
O,1.4129513298841685
Ca_rel,0.8679055364726561
Ca_up,1.0512156262567751
O_Calse,0.5102869297762753
F1,0.1390900312539481
F2,0.0084693441764572
fluo_d,0.0022381977504883
fluo_i,0.0016994032816544
Cai_mean,0.0001539400994555
fluo_mean,0.0017099678790825
