,999
CaSR1,0.7737568601904712
CaSR2,0.7601908575811803
CaSR3,0.7404249630559724
CaSR4,0.723315138021255
Cai1,0.0001533553990983
Cai2,0.0001544160102183
Cai3,0.0001574176890305
Cai4,0.0001643431590812
Cass,0.0001675336442595
d,1.128712296682e-05
f1,0.9987982788843996
f2,0.9987966602248748
fca,0.972687768651621
y,0.0473837382537534
pa,4.44416296047941e-05
n,0.0048434440821255
ikur_r,0.0003243900148269
ikur_s,0.9827274794333128
h1,0.8979434138836967
h2,0.8958352119245808
m,0.0028998016966406
it_r,0.0009912672984542
it_s,0.9529695655665892
V,-75.06806130201247
Ki,135.50010903317556
ryr_a1,0.2018387221624941
ryr_a2,0.2079143178191269
ryr_a3,0.2185130245813468
ryr_ass,0.2378918786914863
c1,0.9984634178189474
c2,0.9987136281848754
c3,0.9987744134316332
css,0.999891327909084
o1,0.0001265805927686
o2,0.000106715488205
o3,8.242402818309909e-05
oss,6.194093790158302e-05
serca_a1,0.0066830577617782
serca_a2,0.0064890153966434
serca_a3,0.0061960938612002
serca_ass,0.0059839780645221
Nai,8.550305826690016
Nass,8.355793812743034
fluo_1,-0.0
fluo_2,0.0
fluo_3,0.0
fluo_4,-0.0
fluo_ss,-0.0
CaSR,0.7387287633976662
Cai,0.0001596792831942
fluo,1.0962518171609761e-24
