,999
CaSR1,0.7644224279692037
CaSR2,0.750442256273178
CaSR3,0.730050811100656
CaSR4,0.7119011776462185
Cai1,0.0001547640362593
Cai2,0.0001566214499361
Cai3,0.0001613194247189
Cai4,0.000171375355422
Cass,0.0001760771717292
d,9.893372521151023e-06
f1,0.998920742767332
f2,0.998925623432627
fca,0.9699152666832808
y,0.0525543698071111
pa,3.912930533479132e-05
n,0.0054582954965327
ikur_r,0.0002968151844012
ikur_s,0.9744602024234806
h1,0.9104153394542313
h2,0.9099572709695692
m,0.0026426199557538
it_r,0.0009247730247124
it_s,0.9558561278223174
V,-75.83265498909242
Ki,134.40527552252678
ryr_a1,0.2209331922994049
ryr_a2,0.2291554027378778
ryr_a3,0.2435733994013237
ryr_ass,0.2708586911653016
c1,0.9994870634560592
c2,0.9995100723530886
c3,0.999441749940644
css,0.9999908270786982
o1,6.943601670968334e-05
o2,5.592065233587873e-05
o3,4.019763484678411e-05
oss,2.7341182048184776e-05
serca_a1,0.0065751314114907
serca_a2,0.006380778618139
serca_a3,0.0060950246813048
serca_ass,0.0059227481542578
Nai,9.814223533772392
Nass,9.155650734267136
fluo_1,0.0
fluo_2,0.0
fluo_3,0.0
fluo_4,-0.0
fluo_ss,-0.0
CaSR,0.7280819684884716
Cai,0.0001644996681718
fluo,2.0224618088032444e-24
