name,value,units,component,comment,,,,
ipca_IpCa_sl_b,5.22819776295636E-06,dimensionless,ipca_IpCa_sl,,,,,
ECl,-61.5074329022882,mV,nernst,,,,,
Vmyo,2.14541325809056E-11,liter,geom,,,,,
Fsl,0.89,dimensionless,junc,,,,,
Bmax_SLhighj,0.198979591836735,mM,buffca,,,,,
Bmax_SLlowj,0.554730983302412,mM,buffca,,,,,
Vsl,6.60127156335555E-13,liter,geom,,,,,
Vsr,1.15522252358722E-12,liter,geom,,,,,
Q,0,dimensionless,phys,,,,,
Bmax_SLhighsl,0.4355,mM,buffca,,,,,
Bmax_SLlowsl,1.2155,mM,buffca,,,,,
Bmax_Csqn,2.6,mM,calcium_Csqn,,,,,
INa_scaler,1,dimensionless,gNa,gNa_max,,,,
INaB_scaler,1,dimensionless,gNaB,,,,,
INaCa_scaler,1,dimensionless,IbarNCX,ibarNCX_max,,,,
INaK_scaler,1,dimensionless,IbarNaK,,,,,
INaL_scaler,1,dimensionless,gNaL,gNaL_max,,,,
ICaL_scaler,1,dimensionless,pCa,pK,pNa,pCa_max,pK_max,pNa_max
ICaB_scaler,1,dimensionless,gCaB,,,,,
IpCa_scaler,1,dimensionless,IbarSLCaP,,,,,
Ito_scaler,1,dimensionless,gto,,,,,
IKr_scaler,1,dimensionless,gKr,,,,,
IKs_scaler,1,dimensionless,"gKs_sl, g_Ks_jn",gKs_max,,,,
IK1_scaler,1,dimensionless,gK1,gK1_max,,,,
IKp_scaler,1,dimensionless,gKp,,,,,
IKur_scaler,1,dimensionless,gKur,gKur_max,,,,
IClCa_scaler,1,dimensionless,GClCa,,,,,
IClB_scaler,1,dimensionless,gClB,,,,,
Jrel_scaler,1,dimensionless,ks,,,,,
Jserca_scaler,1,dimensionless,Vmax_SRCaP,,,,,
fluo_tot,0.01,mM,,,,,,
fluo_k_on,236,per_ms,,,,,,
fluo_k_off,0.175,per_mM_per_ms,,,,,,
