CaSR1,CaSR2,CaSR3,CaSR4,Cai1,Cai2,Cai3,Cai4,Cass,d,f1,f2,fca,y,pa,n,ikur_r,ikur_s,h1,h2,m,it_r,it_s,V,Ki,ryr_a1,ryr_a2,ryr_a3,ryr_ass,c1,c2,c3,css,o1,o2,o3,oss,serca_a1,serca_a2,serca_a3,serca_ass,Nai,Nass,fluo_1,fluo_2,fluo_3,fluo_4,fluo_ss,CaSR,Cai,fluo
4.2393449077818355,4.237661091812342,4.23601561549034,4.238571913816755,0.0008009820188442827,0.000794003027500574,0.0007781068697398973,0.0007465822905220068,0.0007226735052843533,1.420495725990012e-06,0.999774408188224,0.9993619441388749,0.6566427967893002,0.08152101254553291,6.357814139097658e-06,0.009665990828624798,8.036322608644274e-05,0.9571071938773861,0.9881928989707608,0.9520126734233515,0.0006715921802345842,0.000332480408817786,0.9828889028963822,-87.09560560049141,199.4523460159196,0.5042381904522958,0.5042320256729845,0.5042069096793248,0.5039417297649742,5.567795578549419e-13,9.691726194273065e-13,3.922676439536766e-12,1.7491383940662957e-09,0.9318360515196046,0.916550786883757,0.8689449812112686,0.4986823116050381,0.8535724945670117,0.8532769433271217,0.8527033224650417,0.851136150769894,15.23743655574938,15.391763977458773,0.005193533845495516,0.005171881051888815,0.005121744137358412,0.005019005561996293,0.004937844275275895,4.23765060358674,0.0007684430008359782,0.005089747312348788
4.23928715031105,4.237599195156482,4.235956259982153,4.2385358199468826,0.0008008877148225982,0.0007938876486413135,0.0007779537404078369,0.0007464095324869932,0.0007238086738180573,0.00019191025615366406,0.9992613409651149,0.9993260759607371,0.6566385640033499,0.0815011747463124,3.551720522208567e-05,0.009656088046016146,0.000544902944686515,0.9571168949205396,0.9703949457586806,0.9479013019431475,0.17401136676450618,0.003341829106827144,0.9774388315161429,-37.25994254369057,199.4555514015765,0.5042381137615045,0.5042318807303438,0.504206594880247,0.5039406283659625,5.613854138909106e-13,9.80138859937615e-13,3.98577565407713e-12,1.7811545568743784e-09,0.9316374371057466,0.9162534608439744,0.8683468323627501,0.49765650515196935,0.8535668262647564,0.8532702541485159,0.8526954043806593,0.8511283461327281,15.237438272925857,15.3863152209408,0.005193240132986249,0.005171517661377262,0.005121249200989372,0.005018310477634878,0.004937645077472001,4.237601048457464,0.0007682999170159736,0.005089204172396973
4.239228991251195,4.237536958789473,4.235896625958938,4.238499437650405,0.0008007934099308861,0.0007937724330975723,0.0007778039063489798,0.0007463443295573797,0.0007278536704660123,0.11087739775294296,0.9688810964079375,0.9941530595079254,0.6561628438192371,0.08011981953391151,0.004932195084599015,0.009757388462148926,0.1109485687349568,0.9570310245857309,0.2682606746533096,0.8194986259128698,0.9973350231331505,0.05906343131133877,0.9331098046310262,24.11559306915047,199.45560494712745,0.5042380361848323,0.5042317346512514,0.5042062783504548,0.5039395759046414,5.660424349691803e-13,9.912350639724654e-13,4.049800143993107e-12,1.7869607306575562e-09,0.9314382254308335,0.9159553582875712,0.8677476574272391,0.49966025404487413,0.8535611343826045,0.8532635482598725,0.852687481735461,0.8511237727437476,15.237441956617017,15.99376277934116,0.0051929463657380435,0.005171154512249257,0.0051207567293109,0.005017699388884282,0.004939427897882495,4.2375511913104456,0.0007682224784941246,0.005088710503479195
4.239170431986941,4.237474383727088,4.235836715135526,4.238462787076934,0.0008006991143916303,0.0007936576958345583,0.000777671524572074,0.0007470553908464198,0.0007491088775201229,0.4587467885439083,0.8867692835175406,0.9784008971971266,0.6525153696312285,0.06508160535671997,0.03574440169521013,0.010590650186367963,0.7399821917770171,0.9567220793854896,0.009571065204457318,0.5871964327538846,0.9996899879617946,0.3702369466934125,0.8694960533558143,39.24250783595587,199.45522063101095,0.5042379577220801,0.5042315874380581,0.5042059601971766,0.503938827539732,5.707510158948314e-13,1.0024620901798519e-12,4.11467447107202e-12,1.7107678213419503e-09,0.9312384186025906,0.9156565071475311,0.8671491304534658,0.5207765648806827,0.8535554190481924,0.8532568260546457,0.8526795676168931,0.8511401721823886,15.237451715828135,16.13451688368775,0.005192652552663433,0.005170791782947608,0.005120274171655235,0.0050175368222689564,0.004954324458293832,4.237501041774022,0.0007685935075970368,0.005088495344568095
4.239111473911095,4.237411471155019,4.235776534193817,4.238425930254043,0.0008006048708873994,0.0007935445233218034,0.000777580294127672,0.000748563851794524,0.0007711796617280654,0.671104808529635,0.8140786752137513,0.9628970465133789,0.6448836165739269,0.05067622515444685,0.06600164987463591,0.011525808213708612,0.930495260327399,0.9564115704681008,0.0003420940064822322,0.4207446315041887,0.9996484377041392,0.5931984316254955,0.8101962485287384,38.111481012049936,199.45436998069664,0.5042378783733045,0.5042314391010353,0.5042056408396163,0.5039385106775789,5.755115285611312e-13,1.0138191844793547e-12,4.1800621004739315e-12,1.604639618860239e-09,0.9310380213642044,0.9153570351930929,0.8665577836009248,0.5661109261023054,0.8535496804274312,0.8532500891184318,0.8526717129931517,0.8511921041407952,15.237461942321058,16.143341793170457,0.005192358723586971,0.0051704302982667,0.005119829306977936,0.005018592495673356,0.004987279871533343,4.23745062938272,0.0007693293337853727,0.005088932459347133
4.239052118435602,4.237348222779419,4.235716099513273,4.23838893548399,0.0008005107519088022,0.0007934338120322241,0.0007775298975521935,0.0007504545021831162,0.0007906572453401479,0.7999147156046099,0.7458878566584158,0.9476394257548572,0.635316210889654,0.04073675183281684,0.09518617711574053,0.012390796263402181,0.975787774143035,0.9561019590518819,1.2498470868777608e-05,0.3014767071735928,0.9994983557391723,0.7240322744653582,0.7549604338740531,35.174157549636135,199.45334799673788,0.5042377981391828,0.5042312896625845,0.504205320847859,0.5039385027972801,5.803242802034209e-13,1.0253030673667315e-12,4.245494672024301e-12,1.5016549151611548e-09,0.9308370452797315,0.9150572188495703,0.8659822011410184,0.6212709825921696,0.8535439187851536,0.8532433407966947,0.8526639844539787,0.8512760219600087,15.23747220524898,16.143042874952823,0.005192064957780005,0.0051700716620513305,0.0051194515109609755,0.00502105118944236,0.005030949890544142,4.237399989545509,0.0007702286076041718,0.005090066633842343
4.238992367021113,4.237284641167519,4.235655436716404,4.238351860672126,0.0008004168285279386,0.0007933260274270696,0.000777516247821227,0.0007525721780080525,0.0008076616698852445,0.8779308264110407,0.6815129597034896,0.9326246871190313,0.6252489025153055,0.03401958804751787,0.12316825553213763,0.013159382617377391,0.9853520490580161,0.955793893850818,5.901737904834467e-07,0.21601751652631757,0.9992485447387391,0.7984702354684333,0.703522565711643,31.848824480119223,199.45229319512453,0.5042377170211431,0.504231139152438,0.5042050007451906,0.5039387077848382,5.851894974502802e-13,1.0369088615483398e-12,4.3105391386434785e-12,1.404887210411623e-09,0.9306355098931104,0.9147574152191804,0.8654298094762191,0.6763201949458916,0.8535381345009321,0.8532365853637919,0.8526564392286861,0.8513866204485849,15.237482439821562,16.138527445264714,0.005191771379770183,0.005169717599938204,0.005119157823971973,0.005024778374592016,0.005079203777574696,4.23734915617566,0.0007712234177353982,0.005091807439738101
4.238932221210745,4.237220729948464,4.235594578858426,4.238314753170782,0.0008003231688468639,0.0007932215423317118,0.0007775376873141957,0.0007548618992847405,0.0008226291682097741,0.9250390108495066,0.6208466509769743,0.9178497303986133,0.6154495747529014,0.029374523359180022,0.1497306524433071,0.013831377509901464,0.9849463097980636,0.9554880405122406,4.375933126361566e-08,0.15478337260669758,0.998860576175533,0.8392854472225243,0.6556342983463846,28.425254340170472,199.45126634585,0.5042376350213257,0.504230987604902,0.5042046810161,0.5039390639119721,5.901073287842689e-13,1.0486306284241506e-12,4.374795695576586e-12,1.3142971905288813e-09,0.9304334419312577,0.9144580235308911,0.8649070556693056,0.7267515535397142,0.8535323280562522,0.8532298275560348,0.8526491268413614,0.8515191719757972,15.237492602006363,16.130332496416486,0.0051914781417047185,0.005169369694721455,0.005118957456647683,0.0050295860955385735,0.0051281311748306085,4.237298161096484,0.0007722920888237549,0.005094052362132001
4.238871682664733,4.237156493949973,4.23553356522783,4.238277651429923,0.0008002298441738027,0.0007931207458219217,0.0007775939383312176,0.0007572965726238237,0.0008359269567508197,0.953237064893305,0.5639117106219649,0.9033119370353433,0.6062740576042601,0.026074522253970125,0.17452866069580164,0.014414920187788602,0.9804857876030716,0.9551852581529044,8.671605350143321e-08,0.1109072512091377,0.9982664449745074,0.8591793024288025,0.6110669903022737,24.97240096695192,199.4502948146446,0.5042375521425879,0.5042308350586284,0.5042043621329501,0.5039395310684114,5.950778420547478e-13,1.0604613934553206e-12,4.4378792220282285e-12,1.2295378646836752e-09,0.9302308750579057,0.9141594804693137,0.8644198679560786,0.771047892216062,0.8535265000299478,0.8532230725141298,0.8526420929047503,0.8516697000996624,15.237502652001723,16.118802700261696,0.005191185415431103,0.005169029412169665,0.005118856061895359,0.0050353035967883415,0.0051754664769876465,4.237247034416454,0.0007734250802119395,0.005096715314536358
4.238810753196639,4.237091939313738,4.235472440592266,4.238240586554872,0.0008001369314394366,0.0007930240409898164,0.000777685087257181,0.0007598556515297875,0.0008478096421485582,0.9696718702429001,0.5107751349360232,0.8890094512548558,0.5978565328349241,0.023672881043996067,0.1971010602228824,0.014920874268386132,0.9731093592695585,0.9548866908440478,8.453501093700528e-08,0.0794687114881054,0.9973635752617881,0.8650361607651136,0.5696119347943328,21.51999297221134,199.44939065264654,0.5042374683885565,0.504230681556837,0.5042040445664296,0.5039400821027833,6.001010167573767e-13,1.0723930796905151e-12,4.499414035328855e-12,1.1502422749659235e-09,0.9300278501598991,0.9138622614034272,0.8639738376332314,0.8090749969901295,0.8535206511015029,0.85321632579693,0.8526353807054665,0.8518348334747731,15.237512554443471,16.10437590245719,0.005190893391079988,0.00516869815450472,0.005118857562162146,0.00504178667755294,0.005219997637702358,4.237195804998955,0.0007746151242058335,0.005099727662461408
