CaSR1,CaSR2,CaSR3,CaSR4,Cai1,Cai2,Cai3,Cai4,Cass,d,f1,f2,fca,y,pa,n,ikur_r,ikur_s,h1,h2,m,it_r,it_s,V,Ki,ryr_a1,ryr_a2,ryr_a3,ryr_ass,c1,c2,c3,css,o1,o2,o3,oss,serca_a1,serca_a2,serca_a3,serca_ass,Nai,Nass,fluo_1,fluo_2,fluo_3,fluo_4,fluo_ss
1.5971915714530958,1.5602386910947819,1.4947875786273384,1.4091863067612964,0.0003215926207338111,0.0003291470846474157,0.00034755375543907963,0.00038734108001453404,0.00039809146187005055,6.608375693891091e-06,0.9989847644630667,0.9916053027891837,0.862335192268432,0.0234241378712364,8.970438690533745e-05,0.016016545785458358,0.000227191234305716,0.9417253555455833,0.9377124462930585,0.7918047091867793,0.001985496383315312,0.0007473547077890846,0.9634252945934072,-78.18545364623775,130.1141324945006,0.4396957229052178,0.45162281131328397,0.4694705919995153,0.4906937115295263,0.9579612872273877,0.9304866833431422,0.8745735357330924,0.9989879437100897,1.4371320140039898e-05,1.304979663396422e-05,1.57176382302656e-05,3.362434995929119e-05,0.01851041957977959,0.018174981854545094,0.017615903124172543,0.017370476430441147,14.522636315344457,13.872116977314061,0.0,0.0,-0.0,0.0,0.0
1.5970413846727551,1.5601705034304034,1.4949350533770704,1.4097839941677888,0.00032134461178994904,0.0003288452621149141,0.0003471335811948839,0.00038671380325510605,0.0003985852927818345,0.0010462403404680287,0.9984086810998218,0.9915336338742704,0.8626591317722166,0.023424825859104943,0.00017407877314416814,0.01600191898675141,0.0017148931259044458,0.941735243828047,0.8933986734851689,0.7833663950925365,0.4163133911473826,0.0065714080167605885,0.9526131211592951,-25.407051103670334,130.11733759304792,0.43958805214056623,0.451512574144442,0.469364425167598,0.4906179534278177,0.9584389833467702,0.9312765915191837,0.8759988133200421,0.9990523759378372,1.4285461895483192e-05,1.2942494212048983e-05,1.5481308056826484e-05,3.295419901538374e-05,0.018506486386784263,0.018170876718203933,0.017611597479111594,0.01736307766002998,14.522628930326952,13.895323858374958,0.0,0.0,-0.0,0.0,0.0
1.5968909676172955,1.560102144639658,1.4950819683053282,1.4103786483507215,0.00032109788286410664,0.0003285453087312221,0.00034672671374870304,0.0003867841910921057,0.00042326699846515143,0.32472510100777013,0.9203756941207818,0.9777825847955658,0.8606317000666385,0.020857353742075795,0.021993833350566136,0.016518480255039894,0.5287996202592993,0.9414877740540117,0.04045548767401497,0.5699395530696831,0.999646871032594,0.23226598957671069,0.8897616237264329,38.41617278533323,130.117247196331,0.43948017859939914,0.45140207677198696,0.46925788387671163,0.4905491731642374,0.9589112513298812,0.9320575237220645,0.8774078950182118,0.9991107757066392,1.4200996489779811e-05,1.2837152839097899e-05,1.525129713013866e-05,3.452743559651328e-05,0.018502561231672744,0.018166787472722427,0.01760732637872654,0.017357022122219432,14.522626645416006,14.50506248022053,0.0,0.0,-0.0,0.0,0.0
1.5967403279746744,1.560033620976681,1.4952283167112954,1.4109672430137392,0.0003208524872637518,0.00032824953869487405,0.00034642518262580915,0.00039019132747718113,0.00048246719521323456,0.589931438992996,0.8466819996999341,0.9622881416854634,0.848256976387452,0.0155901158813972,0.05275878113370603,0.017519310091284174,0.8877724184839991,0.9411816016543528,0.0014435287721537987,0.4083795542017173,0.9998049645771366,0.5224896563922088,0.8290651516402368,43.04920096302452,130.1166076947373,0.43937210393446446,0.4512913223998756,0.46915102428224426,0.4905104918117219,0.9593781528431606,0.9328295819251805,0.8788009647900425,0.9985729272100815,1.4117898490563262e-05,1.2733748217319756e-05,1.5028277692272001e-05,6.715760781814425e-05,0.018498644098862822,0.018162714160981617,0.017603094964294387,0.017357657479231816,14.522626597947884,14.521979355496072,0.0,0.0,-0.0,0.0,0.0
1.5965894733499173,1.5599649383128893,1.495373981377372,1.4115182643611723,0.00032060880497177647,0.0003279672193992268,0.0003464100407792594,0.00039814384549230014,0.0005521353281389876,0.751045738982836,0.7800479625776536,0.9470390129225582,0.8242300466155066,0.011282067434354986,0.08259546557765426,0.01857006943660992,0.9728546558982966,0.9408751102495712,5.152906123661464e-05,0.2926167587290158,0.999805260032562,0.7064281071586717,0.7725047829428421,42.997944834738654,130.11566730964583,0.4392638300304593,0.4511803209719042,0.4690440694915332,0.4904991306593719,0.9598397488645982,0.9335928669600472,0.880178204444379,0.960468434315925,1.4036147213911682e-05,1.2632358397193654e-05,1.4815585444477202e-05,0.0004225373525746875,0.01849473499276295,0.018158657408861033,0.01759892492018089,0.017369112350105912,14.52262654734251,14.512814884468007,0.0,0.0,-0.0,0.0,0.0
1.5964384112719356,1.5598960980318142,1.4955176980674525,1.4117226761323292,0.0003203680007316689,0.00032771598222789604,0.000346864388382574,0.0004105704630542965,0.0006226888609913075,0.8488060282214026,0.7180399486777153,0.9320316684486035,0.7916907541745747,0.00832816612748239,0.11147375870440258,0.01959023089943254,0.9909335285585069,0.940568946603262,1.8446923486286813e-06,0.20966918982184266,0.9997574875173438,0.8134049858814087,0.7198108553419569,41.16460268724512,130.1146240588096,0.43915535969774594,0.4510690991389689,0.46893745966409267,0.49050225966115923,0.9602960996779986,0.9343474785025982,0.8815397935865771,0.898661244684887,1.3955738381607631e-05,1.2533305756011847e-05,1.4619930663175995e-05,0.004112460620223923,0.018490833994155045,0.018154619275257283,0.017594859186275243,0.017393580385881586,14.522626355760767,14.498095308110392,0.0,0.0,-0.0,0.0,0.0
1.5962871490266548,1.5598270528959959,1.4956476392147746,1.4089308790578718,0.0003201324138730661,0.0003275200184964366,0.00034793985584113854,0.00042716760232614035,0.0006976328316057081,0.9080836378540881,0.6596653403452037,0.9172625030555963,0.7537636217060674,0.00639991103291311,0.1393831566780489,0.020540781189202897,0.9939961828247669,0.9402634835300865,6.896609882469716e-08,0.15023452125180142,0.9996606307915732,0.87319166527734,0.6707265713485661,38.38705839815138,130.1135751889246,0.43904669792061407,0.45095770965440324,0.4688318273117909,0.49051190400336103,0.9607472648814884,0.935093515084412,0.8828859096210832,0.8407040369359704,1.387670435200269e-05,1.243727954452873e-05,1.445120219842518e-05,0.03594678041393821,0.01848694136066953,0.01815060403354723,0.0175909589395877,0.017432555109392123,14.522625984078683,14.481308298432358,0.0,0.0,-0.0,0.0,-0.0
1.5961356916435814,1.559757369423988,1.495684638454353,1.390200975147716,0.0003199057913870761,0.00032740824673550963,0.0003497846711067071,0.00044917561164197763,0.0008155003994032995,0.9439713469292454,0.6044209222481842,0.9027280765048572,0.7078179702697284,0.0051463430033327475,0.1662739044517059,0.021396367839278636,0.9931066163273641,0.9399591626754608,9.322255314329514e-09,0.10764774038466017,0.9994853044430732,0.9047447985232244,0.6250134957784307,34.94990546373046,130.11256782720886,0.4389378535002145,0.4508462382123936,0.46872796323078625,0.4905247044466945,0.9611933033925198,0.9358310740998711,0.8842167276790266,0.7864845001430107,1.379913950898913e-05,1.2345414829907373e-05,1.4322690938635978e-05,0.16520444803191378,0.018483057657352194,0.01814661869783159,0.01758729594837246,0.01749131656877619,14.52262541675259,14.463703535323615,0.0,0.0,-0.0,0.0,-0.0
1.5959840305308053,1.5596850514755671,1.4954114586470069,1.3451334688194914,0.0003196934924507846,0.0003274166669363289,0.0003526760722565446,0.0004813833529274751,0.0010100608758438583,0.9655826078884534,0.5519746438684826,0.8884253464416605,0.643717823746994,0.004328020139363821,0.19198121058500972,0.02213864116131552,0.9901460894873297,0.9396567202264474,1.4833924627035975e-08,0.0771329810751658,0.9991496308667654,0.9185786844811145,0.5824541990487683,30.805434755403258,130.1116258074791,0.4388288409454753,0.4507348100162636,0.4686268684451079,0.4905388862036074,0.9616342734546031,0.9365602518157057,0.885532420324687,0.7357617434882576,1.3723228012950194e-05,1.2259371918093503e-05,1.4253782811705463e-05,0.315645973633252,0.018479183904136186,0.018142673409900934,0.017583942163164747,0.017588302341903835,14.522624649739576,14.44618933873382,0.0,0.0,-0.0,0.0,-0.0
1.5958321173266263,1.5596057723126096,1.494624001603864,1.283337608139308,0.000319503026319221,0.0003275970100365212,0.00035710303890339136,0.0005284782645379149,0.0012547296751868236,0.9783111883052273,0.5020987575618131,0.8743522270276892,0.5620482776253588,0.0037951205893207523,0.21604189968979864,0.022757232299293953,0.9845550648900485,0.9393575598114172,3.5862809683596746e-08,0.055268200611135215,0.9984646443859745,0.9197613611656962,0.5428567336464764,25.927745389604414,130.11076246027224,0.43871968279390183,0.4506236034026966,0.4685299424813886,0.49055331855453244,0.9620702326434359,0.9372811433742536,0.8868331565467164,0.6883102503115225,1.3649277024742366e-05,1.2181536580127575e-05,1.4277907144825348e-05,0.43969772966573417,0.018475321752734437,0.018138782261064884,0.017580981332562612,0.017751530703789715,14.52262368837247,14.429469423991964,0.0,0.0,-0.0,0.0,-0.0
