name,value,units,component
PCa,0.0001007,dimensionless,ICaL
tjca,75.0,millisecond,ICaL
v0,0.0,millivolt,ICaL
GKr,0.04658545454545456,milliS_per_microF,IKr
GKs,0.006358000000000001,milliS_per_microF,IKs
GK1,0.3239783999999998,milliS_per_microF,IK1
vcell,3.7994e-05,microliter,cell_geometry
GKb,0.003,milliS_per_microF,IKb
v0,0.0,millivolt,INab
v0,0.0,millivolt,ICab
a_rel,2.375,millisecond,ryr
btp,5.9375,millisecond,ryr
upScale,1.0,dimensionless,SERCA
ffrt,3612.0012202503353,coulomb_per_mole_millivolt,membrane
Afs,0.4,dimensionless,ICaL
PCap,0.00011077,dimensionless,ICaL
PCaNa,1.25875e-07,dimensionless,ICaL
PCaK,3.599018e-08,dimensionless,ICaL
B_1,0.07487176701560523,per_millivolt,ICaL
B_2,0.037435883507802616,per_millivolt,ICaL
B_3,0.037435883507802616,per_millivolt,ICaL
Ageo,7.667880000000002e-05,centimeter_squared,cell_geometry
B,0.037435883507802616,per_millivolt,INab
B,0.07487176701560523,per_millivolt,ICab
a_relp,2.96875,millisecond,ryr
PCaNap,1.384625e-07,dimensionless,ICaL
PCaKp,3.9589198e-08,dimensionless,ICaL
Acap,0.00015335760000000003,centimeter_squared,cell_geometry
vmyo,2.5835920000000003e-05,microliter,cell_geometry
vnsr,2.0972688e-06,microliter,cell_geometry
vjsr,1.823712e-07,microliter,cell_geometry
vss,7.598800000000001e-07,microliter,cell_geometry
h10_i,284.1666666666667,dimensionless,INaCa_i
h11_i,0.9196480938416423,dimensionless,INaCa_i
h12_i,0.003519061583577712,dimensionless,INaCa_i
k1_i,9501.466275659823,dimensionless,INaCa_i
k2_i,5000.0,dimensionless,INaCa_i
k5_i,5000.0,dimensionless,INaCa_i
Gncx,0.0008,milliS_per_microF,INaCa_i
h10_ss,284.1666666666667,dimensionless,INaCa_i
h11_ss,0.9196480938416423,dimensionless,INaCa_i
h12_ss,0.003519061583577712,dimensionless,INaCa_i
k1_ss,9501.466275659823,dimensionless,INaCa_i
k2_ss,5000.0,dimensionless,INaCa_i
k5_ss,5000.0,dimensionless,INaCa_i
b1,9.120000000000001,dimensionless,INaK
a2,687.2,dimensionless,INaK
a4,638.9999889283472,dimensionless,INaK
Pnak,30.0,milliS_per_microF,INaK
