name,value,units,component
E2,0,dimensionless,INaK
E3,0,dimensionless,INaK
E4,0,dimensionless,INaK
JnakNa,0,millimolar_per_millisecond,INaK
JnakK,0,millimolar_per_millisecond,INaK
INaK,0,microA_per_microF,INaK
xkb,0,dimensionless,IKb
IKb,0,microA_per_microF,IKb
A,0,microA_per_microF,INab
JdiffK,0,millimolar_per_millisecond,diff
U,0,dimensionless,INab
INab,0,microA_per_microF,INab
A,0,microA_per_microF,ICab
JdiffNa,0,millimolar_per_millisecond,diff
U,0,dimensionless,ICab
ICab,0,microA_per_microF,ICab
IpCa,0,microA_per_microF,IpCa
Jdiff,0,millimolar_per_millisecond,diff
fJrelp,0,dimensionless,ryr
Jrel,0,millimolar_per_millisecond,ryr
Jupnp,0,millimolar_per_millisecond,SERCA
Jupp,0,millimolar_per_millisecond,SERCA
fJupp,0,dimensionless,SERCA
Jleak,0,millimolar_per_millisecond,SERCA
Jup,0,millimolar_per_millisecond,SERCA
Jtr,0,millimolar_per_millisecond,trans_flux
