0	-80.8831	0	0	0	0	0	0	0	0
1	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
2	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
3	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
4	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
5	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
6	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
7	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
8	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
9	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
10	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
11	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
12	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
13	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
14	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
15	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
16	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
17	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
18	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
19	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
20	-80.8831	-2.18625e-09	-0.0442239	-0.0195655	0.00509391	-0.000358999	-0.762019	-1.6542e-10	-2.02083e-09
20.1001	-72.932	-2.12855e-09	-0.0425303	-0.0139287	0.00509392	-0.000829455	-0.711927	-1.61058e-10	-1.96749e-09
20.6001	-32.9516	-6.82877e-06	-0.0340143	0.0284542	0.00509437	-4.92257	-0.460049	-5.17957e-07	-6.31082e-06
21.1001	29.5527	-0.144281	-0.0207003	0.152331	0.00509658	-57.882	-0.066264	-0.0131664	-0.131115
21.6001	36.2106	-0.66652	-0.0192804	0.171178	0.00510307	-7.42019	-0.024317	-0.108253	-0.558267
22.1001	31.9931	-1.13536	-0.0201754	0.159079	0.00511507	-4.609	-0.0508869	-0.197815	-0.937544
22.6001	25.0247	-1.65109	-0.0216548	0.140295	0.00513275	-2.61532	-0.0947879	-0.29368	-1.35741
23.1001	17.0535	-2.17017	-0.0233461	0.120491	0.00515634	-1.30875	-0.145006	-0.389473	-1.7807
23.6001	9.1279	-2.63822	-0.0250263	0.102403	0.00518554	-0.701616	-0.194938	-0.476074	-2.16215
24.1001	1.82922	-3.01827	-0.0265717	0.0870197	0.00521956	-0.523676	-0.24092	-0.547111	-2.47116
24.6001	-4.56812	-3.28561	-0.0279241	0.0744538	0.00525747	-0.562789	-0.281224	-0.59816	-2.68745
25.1001	-9.97504	-3.42561	-0.0290648	0.064452	0.00529829	-0.690264	-0.315288	-0.626413	-2.7992
25.6001	-14.4199	-3.43652	-0.0300001	0.0566267	0.00534112	-0.83151	-0.343291	-0.631268	-2.80526
26.1001	-18.007	-3.3314	-0.0307526	0.0505565	0.00538512	-0.949306	-0.365889	-0.614776	-2.71663
26.6001	-20.8802	-3.1352	-0.0313529	0.0458413	0.00542962	-1.0319	-0.383991	-0.58121	-2.55399
27.1001	-23.1909	-2.87806	-0.0318335	0.0421369	0.00547409	-1.08145	-0.398548	-0.535901	-2.34216
27.6001	-25.0748	-2.58872	-0.0322234	0.039169	0.00551825	-1.10518	-0.410417	-0.484037	-2.10469
28.1001	-26.6425	-2.29048	-0.0325461	0.0367314	0.00556199	-1.11046	-0.420293	-0.429903	-1.86058
28.6001	-27.9784	-1.99997	-0.0328196	0.0346744	0.00560539	-1.103	-0.42871	-0.376633	-1.62333
29.1001	-29.1449	-1.72773	-0.0330572	0.0328917	0.00564873	-1.08674	-0.436059	-0.326281	-1.40145
29.6001	-30.1865	-1.47954	-0.0332681	0.0313085	0.00569248	-1.0642	-0.442621	-0.280041	-1.1995
30.1001	-31.1348	-1.25779	-0.0334589	0.0298722	0.00573743	-1.03697	-0.448595	-0.238482	-1.01931
30.6001	-32.0121	-1.06256	-0.033634	0.0285449	0.00578491	-1.00611	-0.454122	-0.201748	-0.860814
31.1001	-32.8337	-0.892498	-0.0337961	0.0272972	0.00583763	-0.972358	-0.459298	-0.169711	-0.722787
