V,Na_c,Na_i,m,h1,h2,Ca_d,d_L,f_L1,f_L2,K_c,K_i,r,s,a_ur,i_ur,n,pa,Ca_c,Ca_i,O_C,O_TC,O_TMgC,O_TMgMg,O,Ca_rel,Ca_up,O_Calse,F1,F2
-72.89731147406124,130.01165906687038,8.811334080291873,0.0037741657171442623,0.8512252667995734,0.826629998035456,8.474893640378976e-05,1.6433809104585726e-05,0.9983507166234497,0.9978895639714387,5.934499169978093,129.16431616346216,0.0012078030147305533,0.9434549439004364,0.00041904436587798674,0.956489916308154,0.007483413309614077,6.509453464760213e-05,1.815107453185755,7.46745971322865e-05,0.030427716448931486,0.014719011737653324,0.21837150078475473,0.6897426030450685,1.3870089383047128,0.6815005572386754,0.7112187733902913,0.44985746891216766,0.3344668611366433,0.0030356718044429474
17.12462767825999,129.99274490182975,8.813906315768783,0.9797979758679655,0.41993292597318044,0.7617066264558635,0.0002132913585281641,0.05003321521307573,0.9813627873906839,0.9952432246321015,5.934301524192285,129.16961998172485,0.025700164375126535,0.9200216422495577,0.03750680186061106,0.956455347116887,0.007520961204877188,0.001778311662222836,1.8149149746850162,7.835874208437089e-05,0.030636434121799113,0.014804031542456185,0.2183257418446499,0.6897899449593853,1.387017810753958,0.6815536584255679,0.7113077430697842,0.4498771268044666,0.33489298232157666,0.0030443928311071435
42.035949415168616,129.97654584443748,8.816109574384583,0.99978080732659,0.014980729558288587,0.5457866745464883,0.0037488873694603636,0.4215304856374886,0.8879915479683447,0.9794741124533426,5.937372121006788,129.16924104869904,0.3632073252748156,0.8572985497651422,0.7347907185603818,0.9561465307253761,0.00841022844342717,0.032522904543991094,1.81355550918716,8.373837819177396e-05,0.03159787571106337,0.015207338363958267,0.21837866933640068,0.6897594781899032,1.3871018085698743,0.6812940523225663,0.711682321585957,0.44988314427762266,0.3333919193181373,0.00496455707314827
37.06063567112698,129.97538457889493,8.816267735945102,0.9996054146599735,0.0005342894118872439,0.3910730989048898,0.008551629066564646,0.6485787377478097,0.8034953789166959,0.9639530980051012,5.944972643815971,129.16820002036462,0.5941315209992832,0.7988265043753453,0.9315580643296189,0.9558359442100788,0.009377760648630532,0.06291096998936992,1.8119201022345293,0.0001086939994715762,0.03398341387324106,0.01621750690175534,0.21863165494707443,0.6895887221825809,1.3873304489679028,0.6737896452897164,0.7125905738277656,0.449313611994763,0.3204438883212391,0.018085136662113088
29.97801042462334,129.97448097443416,8.81639086443501,0.999066963443239,1.9048741442555333e-05,0.28021563159887103,0.013929793958755935,0.7857600602275278,0.7270513884463383,0.9486799251361059,5.9537300958814425,129.1670015359473,0.7112249215959785,0.7443950098046256,0.9713727492692634,0.9555280461029548,0.010150621982232272,0.09185304335727174,1.8102594020682918,0.00020890688732919948,0.044782533905654065,0.020770185120493365,0.2199487266447687,0.688664939345628,1.3883913550984919,0.638274345821981,0.7159856350174081,0.4449850121002141,0.2960258329196731,0.041898960511842
23.29404884001134,129.97339898569285,8.816538262606318,0.997893362139805,7.326579322419513e-07,0.20078271670609177,0.019598075530912112,0.867816517833633,0.6579129244754787,0.9336539141164318,5.96227483976635,129.16583186134523,0.7660073574976234,0.6937718392227582,0.9744022242146132,0.9552255120271784,0.010735873913954107,0.11821922367295265,1.808664831095513,0.0003969148209452238,0.07337856733628555,0.0331667318966018,0.22388749163237312,0.6856727681148319,1.3913001027429763,0.5674271279764845,0.7239801984105875,0.43206618728086876,0.26364482384435356,0.07164115150414388
17.461188980422637,129.97217785731686,8.816704594786527,0.9957165904348487,1.9747392083970266e-07,0.14386730245745094,0.025242528139688154,0.9154425308030357,0.5954230989521501,0.9188774940536396,5.970157275503537,129.16475214868936,0.7860881990413977,0.6467502009480315,0.9640707319566252,0.9549317605579666,0.01118887791913333,0.14037172826698266,1.807195099235457,0.0006207373665013553,0.11980490582228948,0.054388880600678494,0.23151116164992627,0.6795377522804881,1.3963068470739814,0.48172891997745626,0.7361520371922373,0.4091587566971274,0.2262918822454986,0.10187868352941298
12.468162022851228,129.97091131710002,8.816877114880482,0.9921503769478013,4.6077613340951484e-07,0.10308578411708606,0.030599691071097224,0.9404041497069171,0.539013599023942,0.9043574446381661,5.977253968429132,129.1637791951471,0.7843776899972016,0.6031445017493006,0.945195060984478,0.9546505337851446,0.011553648257222594,0.15752970582204334,1.8058687432978187,0.0008221515527566503,0.17355024361737795,0.08091792714461504,0.2427057761810312,0.6701809984070157,1.402638849323252,0.4047383140276037,0.7508207500223055,0.37957890956334694,0.18832672322530974,0.1266905079481352
8.213219867807599,129.96967449707518,8.817045604975993,0.986876124436994,1.0597806344973592e-06,0.07386513806437744,0.03548084411123582,0.9487074062101597,0.48820268269804146,0.8901062329939307,5.983558872660198,129.16291383376384,0.767473746875243,0.5627840897962573,0.9192382471891969,0.954385219147961,0.011856648306173851,0.17030850078424367,1.8046841990206075,0.0009778125559489108,0.22342880440936239,0.10798905245059201,0.25662469927416187,0.6582724434094441,1.4092761022782707,0.34435387582022964,0.7666983038901188,0.34795354416541086,0.1533686714031452,0.14296476650697684
4.595566765108005,129.9685037707382,8.81720511779418,0.9797350677463457,2.1575625375529713e-06,0.052928980837944097,0.03976018675122593,0.9429640887586973,0.44259322773333154,0.8761448404901386,5.989112308803967,129.16215059146418,0.7395844590622556,0.525506186429285,0.8873594133602284,0.9541381957237389,0.012113386457275907,0.17988282953579693,1.8036357870192115,0.0010858422332298643,0.26352790732253306,0.13218390398797566,0.27228972504732946,0.6446737665031468,1.4155225541560608,0.29894531336687147,0.7830518760030881,0.31756604679958933,0.12315968005009385,0.15064411388714619
