V,Ca_SR,Cai,Nai,Ki,Ca_ligand,d,f1,fCa,Xr1,Xr2,Xs,h,j,m,Xf,s,r,dCaT,fCaT,R,O,I,a_ur,i_ur
-75.14160674146174,0.3491058230210421,0.0001479182474258355,7.460160724051341,104.19910994836118,0.0,0.0004204849411533765,0.28169420581778715,0.994390832528639,0.10057440462516691,0.4456251750215021,0.08163667541055346,0.7286219658672872,0.21664485796323404,0.031456375263980714,0.01291255003327137,0.9274773679412334,0.0002780884303489426,0.0002914170933303431,0.8918546680510189,0.017024031705981962,0.00011493011707565281,0.006591625456173832,0.00032061791743984646,0.5228367669355163
-72.18400204236694,0.3491244596419744,0.00014728507761867804,7.460183571157774,104.19913910872312,0.0,0.0004524985274910463,0.2830165077422206,0.9946660787249783,0.09923771574217827,0.43863494505143447,0.08138539458914018,0.7202721683401477,0.21770015371488113,0.04303805554594124,0.012982136822256702,0.928381671709938,0.00028804810909718295,0.00043653486432384007,0.8918838111264005,0.017096235477262467,0.00011440387963013328,0.0065334784188574085,0.00032720911416749476,0.5229719336653941
-69.28324589519548,0.3491429797437406,0.00014668333202281242,7.460202438189069,104.1991588928618,0.0,0.00055464029487196,0.284271888366168,0.9949193280648203,0.0980104364240744,0.4223911092435935,0.08132542862351519,0.6965226479457707,0.2186360034216767,0.06066766310398126,0.013034413774483507,0.9290165934014807,0.00031766865264353986,0.000702631760637486,0.8903861609539343,0.017168423034004062,0.00011388806707857566,0.006476447733891465,0.0003488080904075701,0.523108106053083
-66.37483081411928,0.34916139666839996,0.0001461225429837892,7.460222815565681,104.19917332746562,0.0,0.0007476908128973892,0.28546213866470005,0.9951522779713153,0.09689418291070429,0.4011424055331241,0.08142554383931276,0.6580027891891965,0.21942729344619258,0.08486051066273237,0.013072257812256263,0.929385871708746,0.00036858264665494406,0.0011302728396808018,0.8866195330620456,0.017240485727007527,0.00011338988928243313,0.0064209589219654814,0.0003902217968722716,0.5232454346065318
-63.348622132433356,0.3491797275630381,0.00014561738032039934,7.460258171670533,104.19918541706492,0.0,0.001075568919732902,0.28658633436148157,0.9953646790391851,0.0958923316525778,0.3769759632518965,0.08166423160625912,0.6046546112229094,0.22003052813848079,0.11879063313029047,0.013097609120388565,0.9294779497044949,0.00044521214809760515,0.0018500108451600316,0.8796097914601463,0.0173122740870794,0.00011291835852291656,0.006367545421859206,0.00045954286493367683,0.52338407002231
-60.011673458611774,0.34919799483733416,0.0001451918167260831,7.460338163317606,104.19919744595013,0.0,0.0016256922584886304,0.28763898732878446,0.995553387319413,0.09501271188146898,0.35070400433945503,0.08202925590056195,0.5355697079523515,0.22037007051010626,0.16844353766674294,0.01311152247687396,0.9292581634176393,0.0005567514077746244,0.003141973460406114,0.8681510122949306,0.017383584996516436,0.00011248535687305115,0.006316914119268626,0.0005709637478091402,0.5235241747838594
-59.218521876937714,0.34921622420537723,0.0001448597079068085,7.4604778299340415,104.19921118519622,0.0,0.002278206557563813,0.28864254960462193,0.9955533905563982,0.09421699829421332,0.32792667914837087,0.08246658932876708,0.4655206598645244,0.2204965386893097,0.19183386023236046,0.013118677061247542,0.9288234984728807,0.0006819404311976666,0.003952556596110853,0.8535480332245426,0.017454068075872742,0.00011211107939487567,0.006270306331689787,0.000711044844746433,0.5236652386130025
-58.203275047508946,0.34923443507156715,0.000144599209097557,7.460643480295111,104.19922676437292,0.0,0.0029115518557936942,0.2896200349589756,0.9955533905563982,0.09346602107297967,0.3103987656713028,0.08293379734247887,0.40525331432047224,0.22049385081012027,0.2118616443996063,0.013122783012908642,0.9282788164454875,0.0008013352730147883,0.0046587065736527515,0.837582394153864,0.01752340034641759,0.00011180772842399206,0.006228443481193046,0.0008610359004986474,0.5238067296324362
-56.982650984152954,0.34925263969977105,0.00014439429838552974,7.460834895633043,104.1992436718896,0.0,0.0035953310002880307,0.2905742790745782,0.9955533905563982,0.09275224437968074,0.29481561145347035,0.08342627913482538,0.349608562230521,0.22036347756354743,0.23741483642791653,0.013124359889243813,0.9276329487019451,0.000924072508534828,0.005630219658714173,0.8203354090011893,0.017591775151361448,0.00011155777086536473,0.0061901226947490735,0.0010251473346305554,0.5239485817974116
-55.3970553595806,0.3492708462401638,0.0001442743765596044,7.461074388460107,104.19926243330025,0.0,0.004423888544010187,0.2914921479724378,0.9955533905563982,0.09209346085025577,0.2804800838121217,0.08395623232701108,0.2978269801843317,0.2200168776000688,0.27311780316030027,0.013122226269571168,0.9268257234065104,0.0010598010687361574,0.007153813517320966,0.8010425596663573,0.017658765763506848,0.00011138111093106045,0.00615662141201069,0.0012175855645330663,0.5240909593321683
-53.212776221250635,0.3492890755447795,0.0001442730159986212,7.461396228511253,104.19928346133611,0.0,0.0055912182586806665,0.29235945977841316,0.9955533905563982,0.09150384159321479,0.26590564604154593,0.08453218743251506,0.2471698931724764,0.21933051293033978,0.3269201364935117,0.013115555067189718,0.9257906978311955,0.0012268625683093026,0.00992562262692484,0.7789321522351762,0.017724095890753796,0.00011128897976231847,0.006128592630438601,0.0014630895300848492,0.5242339332680312
-49.892181307311,0.34930737537439754,0.00014447679134668966,7.461878145209963,104.19930760313711,0.0,0.007618600261680333,0.29314330156733487,0.9955533905563982,0.09101163482871918,0.24905353477671582,0.08516926120631153,0.19340465602098178,0.21799695453981602,0.41578110196551893,0.013102787741806503,0.924382209699812,0.001467882334039205,0.01602177152486936,0.7524519920129322,0.017787250626178128,0.00011130715947621355,0.00610754557204918,0.0018253772634012917,0.5243775143300242
-44.3237556580818,0.34932586318389475,0.00014514010154999742,7.462671231226425,104.19933634751949,0.0,0.012358559295730336,0.29375352963788565,0.9955533905563982,0.09067160840565316,0.22726592747448157,0.08588976418177359,0.13124742109531887,0.21509597310586065,0.5729542656001991,0.013081216600589217,0.9222554504001106,0.0019016236864822817,0.03436998357555125,0.7183189927656362,0.017847176538037673,0.00011149954108773892,0.006097228660795928,0.0025069981557156794,0.5245211175695155
-35.4963138819626,0.34934489184551026,0.00014718028946571245,7.463822761485687,104.19937140193035,0.0,0.02837407397647751,0.2938892348151735,0.9955249033795996,0.09058740907025453,0.19793889618333188,0.08671479648453645,0.061534545409067845,0.20726391416158388,0.797832292764171,0.013046632664285289,0.9185237165558838,0.002919221221819387,0.11240543812409334,0.6687411609691083,0.017901041019849254,0.00011206118664792178,0.006109073410413212,0.004325315180876397,0.5246610551562054
-25.71497200146436,0.3493656710079105,0.00015356358550380585,7.464565836377337,104.19941168883969,0.0,0.08706061032840438,0.2929247834694208,0.9949667062198359,0.09090646966050775,0.16300582696362834,0.08763246955133114,0.014027243303164853,0.1850419437574126,0.9367799936889744,0.012995567840331611,0.9114990355621562,0.005552023264868631,0.361855932908919,0.5901903678632203,0.01793933786068445,0.00011369622820201512,0.0061842368399300475,0.01026376532826527,0.5247850542911419
-14.471200348654877,0.34939063557040845,0.00016733721774034934,7.464636903324486,104.19944997552204,0.0,0.24846450284698235,0.29075059599979264,0.9926006145460179,0.0918942842905618,0.12765537112532171,0.08860924785749974,0.0017979528195094234,0.13600841774747707,0.9840368298573475,0.012925590284145782,0.8986372578200735,0.012362704412914913,0.7317919427452336,0.46658621536941575,0.01794045121581014,0.00011807286064625904,0.006420311188609411,0.0304558133774034,0.5248675893690248
-2.051968258407163,0.3494209842488437,0.00018465017889465299,7.464556863885857,104.19946623762202,0.0,0.5059574200137248,0.28800492871252753,0.9859513627378395,0.09433977574509318,0.09430267814291675,0.08962522686162724,0.00022665314245773978,0.07001004731853268,0.9967872453128258,0.012829490364007132,0.8750941611327864,0.03235059076118361,0.9480762202314298,0.2804403123920294,0.017882978906807127,0.00012684694073629942,0.006916403794747934,0.10170445251155533,0.5248645616840248
6.612373341182252,0.349453820693808,0.00019795412316882697,7.464452529413965,104.19942363419212,0.0,0.7115124823244012,0.28517585995621725,0.9736360290978855,0.09899219568930664,0.06686841990444592,0.09065999900499075,5.252468022585271e-05,0.028286395287988774,0.9989606622850451,0.012706280668011606,0.8398553175848472,0.07859527995496836,0.9922086885835896,0.1025346495312283,0.017771526382701675,0.0001392650730718823,0.00763625130283498,0.25744848185310604,0.5247805349408605
11.510317618748632,0.3494853568879945,0.0002070243795220106,7.4643376812115205,104.19928653771524,0.0,0.8358031213551248,0.2823592851420687,0.9576676057961376,0.10546693021082142,0.047181290846764624,0.09170118085826544,2.410888851072948e-05,0.01062495617061976,0.9994514660458675,0.012565023435351447,0.7983246930937067,0.14813577361208513,0.9977398109221758,0.02237438010215749,0.01762630174796435,0.00015304825340568053,0.008455181755759062,0.44983284106402455,0.524660385588589
