,999
V,-73.34485088229987
Na_c,130.01933813249835
Na_i,8.16327237422244
m,0.0035746357670316
h1,0.862411256351386
h2,0.8584150778806832
Ca_d,7.010008855062793e-05
d_L,1.5207184655762435e-05
f_L1,0.9984536910107346
f_L2,0.9984381862861909
K_c,5.731151511287854
K_i,129.8547481397602
r,0.001159557849836
s,0.9455877373141244
a_ur,0.0003973722632917
i_ur,0.967094771732976
n,0.0045772001576724
pa,5.999623459425129e-05
Ca_c,1.814059206200636
Ca_i,6.071845948393738e-05
O_C,0.0248784206808078
O_TC,0.0119986751709139
O_TMgC,0.1796574766503042
O_TMgMg,0.723914505774797
O,1.3803473492081615
Ca_rel,0.6006645873993482
Ca_up,0.6115270228866544
O_Calse,0.4188749964715628
F1,0.4757328323855097
F2,0.0022309534360244
