,666
V,-72.89734644153161
Na_c,130.01166624191794
Na_i,8.811343076236312
m,0.0037741495112164
h1,0.8512267295818502
h2,0.8266329339994719
Ca_d,8.474888332373005e-05
d_L,1.6433706832530582e-05
f_L1,0.99835072476446
f_L2,0.9978914848445752
K_c,5.934493759654113
K_i,129.16430698465595
r,0.0012077991200432
s,0.9434551356355728
a_ur,0.0004190425314669
i_ur,0.9564900169034712
n,0.0074833939274867
pa,6.50733662567997e-05
Ca_c,1.8151076943203832
Ca_i,7.467459387365432e-05
O_C,0.0304277146005362
O_TC,0.0147190107373331
O_TMgC,0.2183713642626911
O_TMgMg,0.6897427236931619
O,1.387008916297978
Ca_rel,0.6815015462215539
Ca_up,0.7112190631000261
O_Calse,0.4498578345283464
F1,0.3344669382089998
F2,0.0030356749525475
