v,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.7264938383717,0.16380386079076492,0.00014876887500848626,7.92663060663953,7.926840609959682,143.77329555469504,143.77326321159356,2.7731046899097795,1.7735640229800615,0.00013800180901455853,0.007550365728434063,0.6884821013290799,0.688233770691163,0.6751565552535671,0.44264418454781873,0.6444310537929177,0.00019837274810601308,0.2786345891818205,0.12846101514280728,0.0010199205182341885,0.9995313100165735,0.1513058996456753,0.0005196818364704457,0.9995314455820848,0.17567860645140113,2.4987245955163002e-09,0.999999948692249,0.6748778765380566,0.9999999896313649,0.9212500130244128,0.9115422484956722,0.9995391985803227,0.9999409804986121,0.02497670057142482,0.9684139314464203,7.454771336330188e-05,2.243543614630659e-08,0.0002627944025360782,0.022760563130995923,0.008488414734401597,1e-09,1e-09,1e-09,0.0,0.5715229254815906,0.002738300809153618,0.9968370915007179,3.310723785311367e-07,4.1136862790813357e-07
-87.72777542136663,0.16372405379369104,0.00014825503926307946,7.926621246003013,7.92683020821667,143.77331178493364,143.7732793948617,2.7727641984538893,1.778084382145185,0.00013758782288185122,0.007549385624479899,0.6885280748631342,0.6882829835273128,0.6756025586855141,0.4427202946323077,0.6454448471334971,0.00019832408015482223,0.2797581754266161,0.12875898431326627,0.0010198287083742882,0.9995314325371603,0.15231160855232087,0.0005196350330070881,0.9995315648901933,0.17679539009692977,2.4979370783557295e-09,0.9999999540353491,0.6752028369473015,0.9999999897034327,0.9220336078819295,0.9127138957672449,0.9995639218470448,0.9999442583786927,0.0246269261969154,0.9692425794621001,7.445656689479815e-05,2.233749614565906e-08,0.000258109831520062,0.02216074492597182,0.008264360739169408,1e-09,1e-09,1e-09,0.0,0.5712498680610391,0.0026430199742310894,0.9968366582917927,3.3257131273570186e-07,4.13283293197889e-07
-87.71656116719329,0.1636441880004565,0.00014774553438121087,7.9266118169186734,7.9268197483516145,143.77332798080164,143.77329559599423,2.7724246471480805,1.7825913476260282,0.00013717683997407687,0.007557312353024186,0.6882196123344254,0.6883108318657453,0.6760314904098286,0.44278674311593996,0.6464338432105484,0.000198717642096042,0.28087585381205493,0.12905637102833029,0.001019962242051862,0.9995315192948347,0.15331609486637612,0.000519703106727447,0.9995316439430345,0.17791061015455015,2.4993793426677647e-09,0.9999999586895073,0.6755274725577507,0.9999999897652115,0.9228094056463315,0.9138700242463562,0.9995873184684541,0.9999473541782125,0.024286427646374502,0.9700489660969132,7.451841030246488e-05,2.225924061639491e-08,0.0002536115516049194,0.02157626426107147,0.008046891284018885,1e-09,1e-09,1e-09,0.0,0.5709769418879961,0.0025513208707388965,0.9968362883779939,3.340548978299897e-07,4.151757601377042e-07
-87.60229949813662,0.16356426431536503,0.00014724030531405462,7.926602314537233,7.926809230075899,143.77334326606106,143.7733116616719,2.772086044401807,1.7870848628472271,0.0001367688320923693,0.007641640284530917,0.6846364040637638,0.6880071429469773,0.6763866480882872,0.4427186396438457,0.6473594822814396,0.0002029274520937972,0.28197959106365555,0.12935088936893577,0.0010231306287833643,0.9995310581556645,0.15431855983867623,0.0005213183130508377,0.9995311019061389,0.1790229501425421,2.530233308169623e-09,0.9999999627257273,0.675851783693795,0.9999999898003744,0.9235774839006273,0.9150108394819823,0.9996094559656573,0.9999502780039867,0.02395343858444437,0.9708306379683781,7.585506887556233e-05,2.238310908011619e-08,0.0002499550746074517,0.02100071399791439,0.007843089370266761,1e-09,1e-09,1e-09,0.0,0.5707041666069073,0.002463244330484605,0.996836842803092,3.358121359021851e-07,4.1733918789689854e-07
-87.08425092320587,0.16348428363180212,0.000146739296941134,7.926592715151806,7.926798648867517,143.7733537714818,143.77332662687311,2.7717483983595406,1.791564872057333,0.00013636375879167678,0.008036665189012127,0.6679557027963043,0.6860003193397498,0.6764052328195914,0.44196035217550933,0.6480419276198872,0.00022320502645457798,0.2830327132454496,0.12963224484942582,0.0010401449395903819,0.9995276827376581,0.15531537673667664,0.0005299921296522853,0.9995272738502827,0.18012644092404012,2.699554596279836e-09,0.9999999661387219,0.6761757706785476,0.9999999897270332,0.9243379194508495,0.9161365442939015,0.9996303861062682,0.999953039372941,0.023627159742831215,0.9715760466934801,8.250971423675072e-05,2.3387020986460317e-08,0.00024965719202009977,0.02041315924665943,0.0076788776297346175,1e-09,1e-09,1e-09,0.0,0.5704316310049552,0.0023794190807032286,0.996842140965715,3.3953685680629597e-07,4.215043334260802e-07
-85.02565687396925,0.1634042468320178,0.0001462424519697169,7.92658293326455,7.926787985123235,143.7733465463245,143.7733367520915,2.7714117167063654,1.7960313188890498,0.000135961534430055,0.009792493464772817,0.6001979738817621,0.6769248506976496,0.6750017803420079,0.4385036439221284,0.6477378970223142,0.0003243846960607277,0.28389496086845123,0.12986305664072864,0.0011136670647163957,0.9995105935631514,0.15629281982973586,0.0005674756859617736,0.9995081809419709,0.18119860053196804,3.565825582390497e-09,0.9999999685824389,0.6764994338299678,0.9999999891238991,0.9250907883131066,0.9172473387813033,0.9996501109209357,0.9999556471270739,0.02330718249153921,0.9722309712350301,0.00011531351615701066,2.8599713824182883e-08,0.00026646391170974973,0.01973969451994118,0.0076478020806002855,1e-09,1e-09,1e-09,0.0,0.5701596605613131,0.0023025020221769674,0.9968659917431693,3.5305296477904284e-07,4.3568301552032125e-07
-77.40727745673719,0.16332415478758905,0.00014574973500668716,7.9265728104011,7.926777174723517,143.77329742558612,143.77333173446246,2.7710760059478248,1.8004841374544036,0.00013556191109761264,0.019072981592354522,0.3872188814930709,0.6410183951479348,0.6673349589497568,0.42698138486658144,0.6431379050278613,0.0011583642127243948,0.2840992147610678,0.12993893340489546,0.0014399310817960994,0.9993988588737928,0.1572029905614662,0.0007338632089674334,0.9993884418403565,0.18216273291271473,1.1733361702619857e-08,0.9999999655122007,0.6768227734060315,0.9999999830539014,0.9258361654156132,0.9183434199514988,0.9996683782138139,0.9999581077333121,0.02299325857086957,0.9723929261026262,0.00037342712662435517,6.912677262108936e-08,0.00043751907594637667,0.01871774464131096,0.008078587789872412,1e-09,1e-09,1e-09,0.0,0.5698891979332068,0.0022422210712715746,0.9969497964851934,4.342848348967309e-07,5.188862701849579e-07
-52.0521107457504,0.16324400842892978,0.00014526273697547387,7.926571885858816,7.926766573095122,143.77325021747694,143.77330593724065,2.770741269133483,1.8049229578396155,0.0001351642255958117,0.09586108902196068,0.21445045956698072,0.5557704542218729,0.6392123515120416,0.40553986689875043,0.624554995547018,0.03751510768517934,0.2830984299015277,0.12978799259663024,0.0033766622263375345,0.995120392128095,0.1578999570065468,0.001724041621820716,0.9955104167877631,0.1828208940847896,1.590041381143361e-06,0.9999988512622913,0.6771457677289019,0.9999979274441776,0.9265739798630628,0.9194247890137106,0.9996819532569877,0.9999596034033791,0.02268535757233988,0.9675269800344037,0.0032495450749339357,2.497317565320191e-06,0.0027115897641622044,0.016547235562858635,0.009962426109228996,1e-09,1e-09,1e-09,0.0,0.5696186709082917,0.002243508785647645,0.9971684157879724,4.400423600238236e-06,4.516374528576309e-06
-2.567822282047425,0.1631641613273668,0.00016314713341082318,7.930807989179197,7.927397779346593,143.7732625177931,143.77327439397195,2.77040714916153,1.8040487465166217,0.000134774109291153,0.9581574017608806,0.017251943375561636,0.42713297817062224,0.5629846850332817,0.371466113997185,0.5725355161892794,0.9891455573270851,0.28169314399050044,0.12957283840017067,0.03650273136495287,0.8703165507992467,0.15740071693771543,0.020194985050889045,0.8975866144700558,0.18237394499040235,0.13266555787640935,0.993301227020074,0.6772618091337583,0.9627833342506612,0.9258952320682448,0.9148315239225833,0.9970002294024146,0.984889722121005,0.023331167409965815,0.9412787316755303,0.008757285488083468,0.014089052948724236,0.009018944836704474,0.011997047894401551,0.014859211019707828,1e-09,1e-09,1e-09,0.0,0.5694715244704102,0.003384848274310539,0.9976275895645514,0.09976684086416122,0.1002474834971602
9.198054344290396,0.16314369344678065,0.0013968179280708839,7.93184218817242,7.9299203388366815,143.77327386116195,143.77301073837504,2.7699993134693606,1.5281543249073213,0.0001349341473558758,0.9922994025143361,6.846845211756336e-06,0.2859130259866801,0.45950169779688654,0.32497384149029634,0.498189629610531,0.9999401604865075,0.2802882035079559,0.1293570666401482,0.13478007765798822,0.7132073432212648,0.154226931152096,0.08123915725964678,0.7734504014553967,0.17961771677077745,0.6707115081216656,0.9569444288182678,0.6771607458789515,0.9114647018146551,0.9256325985513771,0.90274951765249,0.9822404324649149,0.9635451146705212,0.3632344815763313,0.825749114966647,0.020434789967397917,0.10027232416528058,0.025453878930079617,0.008800398044494647,0.019289767789251833,1e-09,1e-09,1e-09,0.0,0.5697398853809343,0.005908213208941079,0.99817708570487,1.283681032678299,1.3099631624305583
