V,Na_i,m,h,j,K_i,r,s,s_slow,r_ss,s_ss,y,Ca_i,Ca_SR,z_1,z_2,z_3,TRPN
-83.61082329925216,13.674792840408552,0.0026248007509524205,0.7669718905616124,0.5973623889057208,136.95343002628175,0.0016700377035198687,0.942994979467574,0.29136790006392993,0.0022380796247178014,0.25501603486630114,0.0029347521904082843,0.00024689462275568144,1.7462233192408283,0.9359081172102831,0.008960125704437865,0.05460913714301895,0.05417803993448418
-72.54022987018556,13.674748131842113,0.013755270167301882,0.7620277997301819,0.5975337400649727,136.9539186541635,0.00427106554097518,0.9438864916103382,0.2919355409230038,0.0028202874336298437,0.2550315091635134,0.0029350124517890275,0.0002453496319343152,1.7477671273086222,0.9364190251797949,0.008949306586611644,0.05411471745519853,0.05427518241810661
-62.407476079369104,13.674687004132814,0.059696416598017395,0.7556248636112151,0.5960310430119159,136.95438038098376,0.009908451516986489,0.9441444651406543,0.29244258059712674,0.003842005341344002,0.2549710821676198,0.0029342746204049108,0.0002443710350133154,1.7491947694725163,0.9368988196342484,0.0089417869564127,0.05364776358400928,0.05437035389222985
-51.41236788511734,13.674651063494043,0.23142036751920717,0.7462338373255993,0.5924357357625945,136.9548448795572,0.022461626846727034,0.9420404361296175,0.29293413808198315,0.004982633272076028,0.2548744859411921,0.002933320763322103,0.00024501504960382133,1.7502496884352001,0.9372841128919744,0.008944629754890415,0.05326398046236028,0.05446159719966052
-34.01296281127722,13.675329883605011,0.6362966543076349,0.7105325563891355,0.5826703305459507,136.95484050340264,0.049341769725601635,0.9330534602268009,0.2932451640416109,0.00623944929079066,0.25476287044975493,0.002932091182492102,0.00025152182717514077,1.749934712796316,0.9374330302575248,0.008985264868360883,0.053076580394662946,0.05454297902304349
28.002941619109475,13.677912148793327,0.9999857507489139,0.13364725937611777,0.5383666167630435,136.95454559748813,0.9508735889999724,0.9072684681788054,0.2866262587497598,0.04617306377441636,0.25464186574026726,0.0029222659651417784,0.0003052957839804892,1.739212671785248,0.9327901523393297,0.009534405430032825,0.05715164369305141,0.05453198224512913
18.96801326481124,13.677968471851912,0.9999522793822001,0.01618756574438049,0.4941678911820524,136.95394396757078,0.9401942013231962,0.8817145856534585,0.2785717939973974,0.10308571139564524,0.2545206461169905,0.0029085082199432556,0.0003218636525826001,1.7360501436949147,0.9296332710711949,0.009895279021459102,0.05992004693162017,0.05447191147451417
8.506700341811285,13.677800209526442,0.9997573792145223,0.0022511891147962357,0.45388029379454825,136.95344481419775,0.8662369938357067,0.8568855768203726,0.2708715581575623,0.13707564881714715,0.25439950213606555,0.0028991473516181603,0.00037291321393544943,1.725354718599245,0.9229958861569956,0.010409500293001113,0.06600187283571972,0.05434714762309848
1.5567896908598113,13.677616941118641,0.9992790924232838,0.0003886025347282837,0.41738636331554896,136.95304870113927,0.7746056661635337,0.8327719696908488,0.26380432966426076,0.158065179085167,0.25427845081690326,0.0028923008915518254,0.0004661785716400551,1.705257300265624,0.9124301794394227,0.011233285458145063,0.07566772523117175,0.05407458050094843
-2.8416397009821184,13.677444034010895,0.9985539022982122,8.519990513127177e-05,0.3844024747383764,136.95273141425645,0.6931211262306699,0.809366225857262,0.257550245161063,0.17256848264955474,0.25415750062735626,0.002886692225541132,0.0005835990253484815,1.6794026259531838,0.9001857695295182,0.012378412271682035,0.08664381078418618,0.05359237616556465
-5.8281230558600985,13.677283063735418,0.9976840761163913,2.689364025829681e-05,0.35455035823560266,136.95247038586942,0.6285000354770165,0.78665674679543,0.25206447462579074,0.18351652654687817,0.25403665202730763,0.0028817660058480386,0.0007059271479035224,1.6514812030873103,0.8880425737027848,0.013781261480383606,0.09721410621650842,0.05288841351997377
-8.040352385511154,13.677132925919727,0.9967236888100837,1.5991055164159898e-05,0.3274680647401605,136.95225009232522,0.5776689917510186,0.7646285061150959,0.24722352228329825,0.19225521767412193,0.25391590300447897,0.002877272482516097,0.0008221182644113359,1.6234336587435079,0.8766951067509767,0.015359842152791143,0.10677240233094215,0.05198603292879294
-9.80346843706383,13.676992421666485,0.9956872410940608,1.6106704373090482e-05,0.3028438422813097,136.95206061090863,0.5365179058042319,0.7432653564709082,0.2429135637543987,0.19946885284162597,0.2537952517267261,0.002873085934060684,0.0009271682642233744,1.5961243800713367,0.866322467390035,0.017039346318848504,0.11522204375325795,0.05092499417733252
-11.290268407129478,13.676860512303033,0.9945688237245605,1.934698235315454e-05,0.28041401781273856,136.95189551614058,0.5019797845182923,0.7225513790673966,0.23904687402852476,0.20554455894696708,0.25367469718510893,0.0028691358408271415,0.0010194309259609106,1.5699362418114267,0.8569253908021051,0.018760724099509605,0.12262862670903397,0.04974935605177468
-12.599618582168905,13.676736316682915,0.9933529059712386,2.379734136568561e-05,0.25995413098134573,136.95175046899098,0.4720059465016119,0.7024715007205713,0.2355580381056551,0.2107218519241572,0.25355423924086706,0.0028653791060394016,0.0010990188857487105,1.5450447650260544,0.8484496543165084,0.020480414785742883,0.12909644510074503,0.0485009186751203
-13.792546808670084,13.676619093449762,0.9920153854010095,2.8994482362942805e-05,0.24127116541946386,136.95162240146203,0.445240555304858,0.6830118196791497,0.2323980270608478,0.21515950163183237,0.2534338785746557,0.002861787710082718,0.0011668903518604055,1.5215320865609336,0.8408273410555276,0.022167315083243936,0.13473021571328386,0.04721608881164919
